規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,466755,563079,312051,418215,497370,291086,383415,34800,48540,65709,20965
100～499人,401251,469587,277076,360742,419859,253318,333207,27535,40509,49728,23758
100人以上,432358,512925,294365,388035,455789,271988,357050,30985,44323,57136,22377
30～99人,321252,395226,223704,304405,370457,217305,285479,18926,16847,24769,6399
５～29人,269764,336867,190680,256127,318898,182150,243136,12991,13637,17969,8530
30人以上,393478,474490,267060,358770,427924,250857,332005,26765,34708,46566,16203
５人以上,354757,434862,240424,326644,396530,226897,304190,22454,28113,38332,13527
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
