事業所規模,産業,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
30人以上,TL 調査産業計,平成23,2011,年平均,18.6,19.2,17.6,149.5,159.2,133.7,136.5,143.9,124.6,13,15.3,9.1
30人以上,TL 調査産業計,平成24,2012,年平均,18.9,19.4,18.1,152.4,162.4,135.7,138.7,145.8,127,13.7,16.6,8.7
30人以上,TL 調査産業計,平成25,2013,年平均,18.6,19.1,17.7,150.1,160,133.6,136.4,143.4,124.7,13.7,16.6,8.9
30人以上,TL 調査産業計,平成26,2014,年平均,18.5,19,17.7,149.9,159.8,133.7,135.9,142.9,124.5,14,16.9,9.2
30人以上,TL 調査産業計,平成27,2015,年平均,18.3,18.8,17.4,147.7,158.3,130.8,134.2,141.7,122.2,13.5,16.6,8.6
30人以上,TL 調査産業計,平成28,2016,年平均,18.3,18.8,17.4,146.6,157.2,130,133.9,141.6,121.7,12.7,15.6,8.3
30人以上,TL 調査産業計,平成28,2016,1月,17.1,17.7,16.3,138.4,148.4,122.5,125.8,133,114.4,12.6,15.4,8.1
30人以上,TL 調査産業計,平成28,2016,2月,18,18.6,17.1,145.6,156.5,128.3,132.5,140.3,120,13.1,16.2,8.3
30人以上,TL 調査産業計,平成28,2016,3月,18.9,19.5,17.8,152.5,163.9,134.4,138.6,146.9,125.4,13.9,17,9
30人以上,TL 調査産業計,平成28,2016,4月,18.9,19.5,18,152.8,163.6,135.6,139.1,147,126.5,13.7,16.6,9.1
30人以上,TL 調査産業計,平成28,2016,5月,17.5,18,16.9,140,148.9,125.9,127.6,133.9,117.6,12.4,15,8.3
30人以上,TL 調査産業計,平成28,2016,6月,19.2,19.8,18.3,152,162.6,135.3,139.3,147.1,126.9,12.7,15.5,8.4
30人以上,TL 調査産業計,平成28,2016,7月,18.7,19.4,17.8,149.8,160.7,132.8,137.5,145.6,124.8,12.3,15.1,8
30人以上,TL 調査産業計,平成28,2016,8月,18,18.5,17.2,144,154.3,128.4,132.2,139.7,120.8,11.8,14.6,7.6
30人以上,TL 調査産業計,平成28,2016,9月,18.2,18.7,17.4,145.9,156,130,133.6,140.9,122.1,12.3,15.1,7.9
30人以上,TL 調査産業計,平成28,2016,10月,18.2,18.8,17.2,145.9,156.7,128.9,133.1,141.1,120.7,12.8,15.6,8.2
30人以上,TL 調査産業計,平成28,2016,11月,18.5,19.1,17.5,148.2,159.4,130.9,135.4,143.6,122.6,12.8,15.8,8.3
30人以上,TL 調査産業計,平成28,2016,12月,18,18.6,17.1,144.5,155.4,127.4,132,140.1,119.2,12.5,15.3,8.2
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,19.1,18.7,150.2,151.2,146.7,138.9,139.8,135.7,11.3,11.4,11
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,19.7,19,159.8,163.4,144.9,142.8,145.2,132.8,17,18.2,12.1
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,19.1,19.3,18.5,156.1,158.9,144.7,139.2,140.7,133,16.9,18.2,11.7
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,19,19.2,18.4,156.7,160.2,144,138.2,139.8,132.2,18.5,20.4,11.8
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,1月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,2月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,3月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,4月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,5月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,6月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,7月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,8月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,9月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,10月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,11月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,12月,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,D 建設業,平成23,2011,年平均,19.9,20,18.9,169.4,172,151.3,151.2,152.6,141.3,18.2,19.4,10
30人以上,D 建設業,平成24,2012,年平均,20.8,21,19.4,180.9,183.1,166.5,155.6,156.4,150.5,25.3,26.7,16
30人以上,D 建設業,平成25,2013,年平均,20.4,20.7,19,177.2,179.3,163.2,153.7,154.6,147.5,23.5,24.7,15.7
30人以上,D 建設業,平成26,2014,年平均,20.4,20.6,19,176.3,178.4,162.8,152.3,153.1,147,24,25.3,15.8
30人以上,D 建設業,平成27,2015,年平均,20,20.2,18.7,176.1,178.8,159.1,153.6,155.2,143.4,22.5,23.6,15.7
30人以上,D 建設業,平成28,2016,年平均,20.3,20.5,19,178.2,180.9,160.5,157.6,159.1,147.5,20.6,21.8,13
30人以上,D 建設業,平成28,2016,1月,18.3,18.6,16.6,161,164.6,138,141.7,144,126.9,19.3,20.6,11.1
30人以上,D 建設業,平成28,2016,2月,20.4,20.6,18.9,180.1,183.4,158.5,157.8,159.7,145.5,22.3,23.7,13
30人以上,D 建設業,平成28,2016,3月,21.4,21.7,19.6,190.6,194.3,166.5,167.1,169.4,152.2,23.5,24.9,14.3
30人以上,D 建設業,平成28,2016,4月,21.1,21.2,20,184.5,186.7,170.3,164.1,165.4,155.8,20.4,21.3,14.5
30人以上,D 建設業,平成28,2016,5月,18.3,18.6,16.9,160,162.6,143.8,142.8,144.5,132.2,17.2,18.1,11.6
30人以上,D 建設業,平成28,2016,6月,21.4,21.5,20.7,186.5,188.5,173.8,168.3,169.5,161.1,18.2,19,12.7
30人以上,D 建設業,平成28,2016,7月,21.3,21.5,20.3,185,187.3,170,165.3,166.5,157.5,19.7,20.8,12.5
30人以上,D 建設業,平成28,2016,8月,19.2,19.3,18,167.2,169.6,152.1,149,150.4,140.3,18.2,19.2,11.8
30人以上,D 建設業,平成28,2016,9月,20.2,20.4,19.1,177.8,180.2,161.9,157.2,158.3,149.7,20.6,21.9,12.2
30人以上,D 建設業,平成28,2016,10月,20.6,20.8,18.9,181.4,184.3,161.6,158.5,160.2,147.2,22.9,24.1,14.4
30人以上,D 建設業,平成28,2016,11月,20.9,21,19.6,182.9,185.5,165.6,159.9,161.2,151.3,23,24.3,14.3
30人以上,D 建設業,平成28,2016,12月,20.8,21,19.5,181.5,184.2,163.9,159.1,160.4,150.3,22.4,23.8,13.6
30人以上,E 製造業,平成23,2011,年平均,19.1,19.3,18.3,159,162.1,148.9,146.7,149.2,138.5,12.3,12.9,10.4
30人以上,E 製造業,平成24,2012,年平均,19.2,19.3,18.6,160.3,163.4,150.2,146.2,148.4,139.1,14.1,15,11.1
30人以上,E 製造業,平成25,2013,年平均,18.8,19,18.2,158.3,161.3,148.3,144,146.2,136.7,14.3,15.1,11.6
30人以上,E 製造業,平成26,2014,年平均,18.8,19,18.1,157.3,160.5,147.5,143.6,145.9,136.3,13.7,14.6,11.2
30人以上,E 製造業,平成27,2015,年平均,18.7,19,18,157,161.6,144.4,143.9,147.2,134.9,13.1,14.4,9.5
30人以上,E 製造業,平成28,2016,年平均,18.7,19,18,156.4,161.2,143.6,143.7,147.3,134.1,12.7,13.9,9.5
30人以上,E 製造業,平成28,2016,1月,17.3,17.6,16.3,144.8,149.7,131.6,133,136.7,122.9,11.8,13,8.7
30人以上,E 製造業,平成28,2016,2月,18.6,18.8,18,155.9,160.5,143.2,142.3,145.5,133.4,13.6,15,9.8
30人以上,E 製造業,平成28,2016,3月,19.4,19.8,18.5,163.4,169.1,148.1,149.6,153.9,138,13.8,15.2,10.1
30人以上,E 製造業,平成28,2016,4月,19.7,19.9,19,164.6,169.1,152.1,151,154.3,141.9,13.6,14.8,10.2
30人以上,E 製造業,平成28,2016,5月,17.6,17.9,17,148,152.1,137,135.9,139,127.6,12.1,13.1,9.4
30人以上,E 製造業,平成28,2016,6月,19.4,19.6,18.8,162.4,167,150,149.5,152.8,140.6,12.9,14.2,9.4
30人以上,E 製造業,平成28,2016,7月,19.6,19.8,18.8,162.5,167.5,149.4,149.7,153.4,140,12.8,14.1,9.4
30人以上,E 製造業,平成28,2016,8月,17.9,18.1,17.3,149.2,153.5,137.9,137.7,140.9,129.3,11.5,12.6,8.6
30人以上,E 製造業,平成28,2016,9月,18.6,18.8,17.9,155.2,160.1,142.2,142.7,146.4,133,12.5,13.7,9.2
30人以上,E 製造業,平成28,2016,10月,18.8,19,18.2,156.7,162.2,142.6,143.6,147.7,133.1,13.1,14.5,9.5
30人以上,E 製造業,平成28,2016,11月,19.2,19.5,18.4,159.9,165.5,146.1,147.4,151.7,136.7,12.5,13.8,9.4
30人以上,E 製造業,平成28,2016,12月,18.5,18.7,17.9,154.2,158.9,142.1,141.9,145.6,132.5,12.3,13.3,9.6
30人以上,F 電気・ガス・熱供給・水道業,平成23,2011,年平均,19.3,19.4,18.2,168.2,171.3,148.4,142.4,143.9,133.1,25.8,27.4,15.3
30人以上,F 電気・ガス・熱供給・水道業,平成24,2012,年平均,19.2,19.3,18.7,163.8,165.7,151,146.2,147.2,139.6,17.6,18.5,11.4
30人以上,F 電気・ガス・熱供給・水道業,平成25,2013,年平均,18.4,18.5,17.9,158.5,160.2,146.9,139.1,139.9,133.4,19.4,20.3,13.5
30人以上,F 電気・ガス・熱供給・水道業,平成26,2014,年平均,18.7,18.8,18.2,162.7,164.5,149.9,141.3,142.1,135.8,21.4,22.4,14.1
30人以上,F 電気・ガス・熱供給・水道業,平成27,2015,年平均,18.5,18.6,18,161,162.7,154.1,144.8,145.9,140.4,16.2,16.8,13.7
30人以上,F 電気・ガス・熱供給・水道業,平成28,2016,年平均,18.5,18.7,17.9,164.4,166.9,155,146.3,147.8,140.7,18.1,19.1,14.3
30人以上,F 電気・ガス・熱供給・水道業,平成28,2016,1月,17.2,17.4,16.6,152.6,155,142.9,134.6,136,129,18,19,13.9
