事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
30人以上,TL 調査産業計,平成23,2011,年平均,19.4,161.5,146.7,14.8,14.3,88.2,84.6,3.6
30人以上,TL 調査産業計,平成24,2012,年平均,19.7,165.5,149.6,15.9,15,91.1,87.6,3.5
30人以上,TL 調査産業計,平成25,2013,年平均,19.4,163.4,147.5,15.9,14.7,88.9,85.3,3.6
30人以上,TL 調査産業計,平成26,2014,年平均,19.4,163,146.8,16.2,14.5,87.8,84.3,3.5
30人以上,TL 調査産業計,平成27,2015,年平均,19.2,162.2,146.3,15.9,14.1,84.7,81.6,3.1
30人以上,TL 調査産業計,平成28,2016,年平均,19.3,161.3,146.2,15.1,14.2,85.6,82.7,2.9
30人以上,TL 調査産業計,平成28,2016,1月,18,152,137.1,14.9,13.5,82.1,79.2,2.9
30人以上,TL 調査産業計,平成28,2016,2月,19,160.1,144.5,15.6,14,84.9,82,2.9
30人以上,TL 調査産業計,平成28,2016,3月,19.9,168.1,151.6,16.5,14.3,86.6,83.7,2.9
30人以上,TL 調査産業計,平成28,2016,4月,20,168.2,152,16.2,14.4,88.3,85.2,3.1
30人以上,TL 調査産業計,平成28,2016,5月,18.4,152.6,138.1,14.5,14,84.9,81.9,3
30人以上,TL 調査産業計,平成28,2016,6月,20.3,167.1,152.1,15,14.7,87.8,84.8,3
30人以上,TL 調査産業計,平成28,2016,7月,19.8,165,150.4,14.6,14.5,86.5,83.7,2.8
30人以上,TL 調査産業計,平成28,2016,8月,18.9,158.4,144.4,14,14,84.8,82.1,2.7
30人以上,TL 調査産業計,平成28,2016,9月,19.1,160.4,145.7,14.7,14.3,86.1,83.5,2.6
30人以上,TL 調査産業計,平成28,2016,10月,19.2,160.8,145.6,15.2,14.1,84.6,81.9,2.7
30人以上,TL 調査産業計,平成28,2016,11月,19.5,163.5,148.2,15.3,14.2,84.9,82.3,2.6
30人以上,TL 調査産業計,平成28,2016,12月,19,159.1,144.2,14.9,14.1,84.8,81.9,2.9
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,19,150.5,139.2,11.3,10.8,70.6,70.5,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,19.6,160.5,143.3,17.2,16,105.1,100.5,4.6
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,19.2,157.1,139.9,17.2,16.6,115.4,109.7,5.7
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,19.1,157.9,139,18.9,16.2,115.6,108.2,7.4
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,年平均,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,年平均,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,1月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,2月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,3月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,4月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,5月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,6月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,7月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,8月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,9月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,10月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,11月,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,12月,－,－,－,－,－,－,－,－
30人以上,D 建設業,平成23,2011,年平均,19.9,170.1,151.6,18.5,17.8,128.7,126.1,2.6
30人以上,D 建設業,平成24,2012,年平均,20.9,181.9,156.2,25.7,15.2,124,121.2,2.8
30人以上,D 建設業,平成25,2013,年平均,20.5,178.3,154.4,23.9,14.9,116.3,114,2.3
30人以上,D 建設業,平成26,2014,年平均,20.5,177.5,153.1,24.4,16.4,118.9,116.4,2.5
30人以上,D 建設業,平成27,2015,年平均,20.1,176.8,154.1,22.7,14.7,100.8,96.7,4.1
30人以上,D 建設業,平成28,2016,年平均,20.4,178.7,158,20.7,14.8,101.7,97.4,4.3
30人以上,D 建設業,平成28,2016,1月,18.4,161.6,142.2,19.4,13.3,92.2,87,5.2
30人以上,D 建設業,平成28,2016,2月,20.4,180.7,158.3,22.4,14,95.9,91.9,4
30人以上,D 建設業,平成28,2016,3月,21.5,191.1,167.5,23.6,16,111,106,5
30人以上,D 建設業,平成28,2016,4月,21.1,185,164.5,20.5,15.4,106.3,103.3,3
30人以上,D 建設業,平成28,2016,5月,18.4,160.5,143.2,17.3,13.2,90.7,87.2,3.5
30人以上,D 建設業,平成28,2016,6月,21.5,187,168.8,18.2,15.8,108.1,102.7,5.4
30人以上,D 建設業,平成28,2016,7月,21.3,185.5,165.7,19.8,15.8,108.7,104.7,4
30人以上,D 建設業,平成28,2016,8月,19.2,167.6,149.4,18.2,14,98.2,93.7,4.5
30人以上,D 建設業,平成28,2016,9月,20.3,178.3,157.6,20.7,14.7,101.1,97.8,3.3
30人以上,D 建設業,平成28,2016,10月,20.6,182,159,23,14.9,100.4,96.9,3.5
30人以上,D 建設業,平成28,2016,11月,20.9,183.4,160.3,23.1,15.8,107,102.1,4.9
30人以上,D 建設業,平成28,2016,12月,20.8,182.1,159.5,22.6,14.9,102.8,97.2,5.6
30人以上,E 製造業,平成23,2011,年平均,19.2,160.6,148.2,12.4,17.4,132.5,122.1,10.4
30人以上,E 製造業,平成24,2012,年平均,19.2,161.8,147.6,14.2,17.5,131,119.4,11.6
30人以上,E 製造業,平成25,2013,年平均,18.9,159.9,145.5,14.4,17.3,128.4,116.7,11.7
30人以上,E 製造業,平成26,2014,年平均,18.9,159,145.1,13.9,17.2,127.7,116.3,11.4
30人以上,E 製造業,平成27,2015,年平均,18.9,160.2,146.5,13.7,15.7,107.9,103.4,4.5
30人以上,E 製造業,平成28,2016,年平均,18.9,159.6,146.4,13.2,15.7,107.6,103,4.6
30人以上,E 製造業,平成28,2016,1月,17.5,148.2,135.9,12.3,13.3,93.5,88.7,4.8
30人以上,E 製造業,平成28,2016,2月,18.8,159,144.9,14.1,15.5,108.3,102.8,5.5
30人以上,E 製造業,平成28,2016,3月,19.7,167,152.6,14.4,16,111.8,106.4,5.4
30人以上,E 製造業,平成28,2016,4月,19.9,168,153.9,14.1,16,112.1,107.1,5
30人以上,E 製造業,平成28,2016,5月,17.8,150.9,138.3,12.6,14.6,102.4,98.3,4.1
30人以上,E 製造業,平成28,2016,6月,19.6,165.4,152,13.4,16.7,115.9,111.4,4.5
