規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,429642,507956,301096,417304,493262,292627,385505,31799,12338,14694,8469
100～499人,382570,448604,262220,358816,418156,250667,333319,25497,23754,30448,11553
100人以上,404770,476030,281198,386400,452861,271150,357931,28469,18370,23169,10048
30～99人,313973,380557,225582,305328,368904,220930,288105,17223,8645,11653,4652
５～29人,263460,328325,186826,256488,319333,182242,244521,11967,6972,8992,4584
30人以上,373106,444999,259723,358128,425573,251759,333581,24547,14978,19426,7964
５人以上,338923,411611,234312,326441,395171,227526,305816,20625,12482,16440,6786
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年９月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
