規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.3,18.4,155,162.1,143.4,140.2,144.8,132.7,14.8,17.3,10.7
100～499人,19.4,19.9,18.5,156,166.6,137.4,142.6,150.3,129,13.4,16.3,8.4
100人以上,19.2,19.6,18.5,155.6,164.5,140.3,141.5,147.7,130.8,14.1,16.8,9.5
30～99人,19.2,20.1,18.1,145.2,158.8,127,135.1,146,120.5,10.1,12.8,6.5
５～29人,18.5,19.6,17.1,141.3,158.6,120.8,133.3,147.7,116.3,8,10.9,4.5
30人以上,19.2,19.8,18.3,152,162.6,135.3,139.3,147.1,126.9,12.7,15.5,8.4
５人以上,19,19.7,17.9,148.6,161.5,130.2,137.4,147.3,123.2,11.2,14.2,7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年６月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
