規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.7,164.8,148.2,16.6,14.2,91,87.6,3.4
100～499人,20.1,168.8,153.3,15.5,15.5,93.3,90.2,3.1
100人以上,19.9,166.8,150.8,16,15,92.3,89.1,3.2
30～99人,21,167.6,154.9,12.7,14.4,82.9,80.1,2.8
５～29人,21.2,175.7,164.6,11.1,13.6,81.3,78.7,2.6
30人以上,20.3,167.1,152.1,15,14.7,87.8,84.8,3
５人以上,20.5,169.4,155.4,14,14.2,84.8,82,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年６月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
