規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18,18.3,17.5,147.2,153.4,136.8,133.4,137.6,126.4,13.8,15.8,10.4
100～499人,18.4,18.8,17.5,149,158.9,131.1,136,143,123.3,13,15.9,7.8
100人以上,18.2,18.6,17.5,148.1,156.3,133.9,134.7,140.5,124.8,13.4,15.8,9.1
30～99人,18.2,18.9,17.2,141.9,155.6,123.8,131.5,141.9,117.7,10.4,13.7,6.1
５～29人,17.6,18.7,16.2,135.8,152.5,116.1,127.8,141.5,111.6,8,11,4.5
30人以上,18.2,18.7,17.4,145.9,156,130,133.6,140.9,122.1,12.3,15.1,7.9
５人以上,18,18.7,17,142.8,155,125.1,131.8,141.1,118.4,11,13.9,6.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年９月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
