規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.8,166,148.5,17.5,13.9,90.1,86.5,3.6
100～499人,19.8,167.8,151,16.8,15.1,91.8,88.6,3.2
100人以上,19.8,166.9,149.8,17.1,14.6,91.1,87.7,3.4
30～99人,20.4,171.1,156.8,14.3,14.3,85.6,82.7,2.9
５～29人,21.2,175.6,163.9,11.7,13.4,80.8,78.2,2.6
30人以上,20,168.2,152,16.2,14.4,88.3,85.2,3.1
５人以上,20.3,170.2,155.1,15.1,13.9,84.9,82,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年４月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
