事業所規模,産業,和暦年,西暦年,年平均・月,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
５人以上,TL 調査産業計,平成23,2011,年平均,497890,395670,368952,26718,102220,107665,105180,101583,3597,2485
５人以上,TL 調査産業計,平成24,2012,年平均,493229,396064,367039,29025,97165,108868,106062,102308,3754,2806
５人以上,TL 調査産業計,平成25,2013,年平均,502886,398953,369244,29709,103933,106117,103544,99424,4120,2573
５人以上,TL 調査産業計,平成26,2014,年平均,508626,400365,369921,30444,108261,105028,102438,98284,4154,2590
５人以上,TL 調査産業計,平成27,2015,年平均,503844,398030,369518,28512,105814,106863,104242,100358,3884,2621
５人以上,TL 調査産業計,平成28,2016,年平均,507506,398842,370696,28146,108664,107305,104595,100884,3711,2710
５人以上,TL 調査産業計,平成28,2016,1月,424052,396363,368863,27500,27689,102388,101451,97571,3880,937
５人以上,TL 調査産業計,平成28,2016,2月,408160,398027,369998,28029,10133,106539,104405,100653,3752,2134
５人以上,TL 調査産業計,平成28,2016,3月,450580,401368,371344,30024,49212,108089,106714,102875,3839,1375
５人以上,TL 調査産業計,平成28,2016,4月,428767,404090,373936,30154,24677,107908,106935,102889,4046,973
５人以上,TL 調査産業計,平成28,2016,5月,433372,393199,365709,27490,40173,105880,104898,100978,3920,982
５人以上,TL 調査産業計,平成28,2016,6月,769028,397052,369560,27492,371976,112636,106903,103233,3670,5733
５人以上,TL 調査産業計,平成28,2016,7月,576335,397450,369559,27891,178885,109349,104697,101116,3581,4652
５人以上,TL 調査産業計,平成28,2016,8月,416478,396976,370314,26662,19502,104871,103552,99938,3614,1319
５人以上,TL 調査産業計,平成28,2016,9月,415858,399503,373240,26263,16355,105661,104920,101389,3531,741
５人以上,TL 調査産業計,平成28,2016,10月,418058,401157,371971,29186,16901,103957,103076,99539,3537,881
５人以上,TL 調査産業計,平成28,2016,11月,437270,400173,371449,28724,37097,104528,103660,100219,3441,868
５人以上,TL 調査産業計,平成28,2016,12月,906679,400839,372454,28385,505840,115804,104055,100324,3731,11749
５人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,711980,484653,464182,20471,227327,313567,302425,302406,19,11142
５人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,746791,513244,488180,25064,233547,187983,186318,178800,7518,1665
５人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,733994,511431,482776,28655,222563,191619,184134,175263,8871,7485
５人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,743424,518729,487917,30812,224695,197396,187894,175902,11992,9502
５人以上,C 鉱業，採石業，砂利採取業,平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,1月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,2月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,3月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,4月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,5月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,6月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,7月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,8月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,9月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,10月,－,－,－,－,－,－,－,－,－,－
５人以上,C 鉱業，採石業，砂利採取業,平成28,2016,11月,－,－,－,－,－,－,－,－,－,－
