規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.1,160.1,143.9,16.2,13.3,85.2,82.3,2.9
100～499人,19.3,163.4,147.4,16,15,91.1,88.1,3
100人以上,19.2,161.8,145.7,16.1,14.3,88.7,85.7,3
30～99人,20.1,167.1,153.5,13.6,14.2,81.1,78.8,2.3
５～29人,20.4,170.7,158.4,12.3,13,78.4,75.7,2.7
30人以上,19.5,163.5,148.2,15.3,14.2,84.9,82.3,2.6
５人以上,19.7,165.4,150.9,14.5,13.6,82,79.3,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１１月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
