事業所規模,和暦年,西暦年,年平均・月,調査産業計／入職率(％),調査産業計／離職率(％),鉱業，採石業，砂利採取業／入職率(％),鉱業，採石業，砂利採取業／離職率(％),建設業／入職率(％),建設業／離職率(％),製造業／入職率(％),製造業／離職率(％),電気・ガス・熱供給・水道業／入職率(％),電気・ガス・熱供給・水道業／離職率(％),情報通信業／入職率(％),情報通信業／離職率(％),運輸業，郵便業／入職率(％),運輸業，郵便業／離職率(％),卸売業，小売業／入職率(％),卸売業，小売業／離職率(％),金融業，保険業／入職率(％),金融業，保険業／離職率(％),不動産業，物品賃貸業／入職率(％),不動産業，物品賃貸業／離職率(％),学術研究，専門・技術サービス業／入職率(％),学術研究，専門・技術サービス業／離職率(％),宿泊業，飲食サービス業／入職率(％),宿泊業，飲食サービス業／離職率(％),生活関連サービス業，娯楽業／入職率(％),生活関連サービス業，娯楽業／離職率(％),教育，学習支援業／入職率(％),教育，学習支援業／離職率(％),医療，福祉／入職率(％),医療，福祉／離職率(％),複合サービス事業／入職率(％),複合サービス事業／離職率(％),サービス業（他に分類されないもの）／入職率(％),サービス業（他に分類されないもの）／離職率(％)
５人以上,平成23,2011,年平均,1.94,2,1.68,1.29,1.02,1.18,1.27,1.35,1.88,2.1,1.29,1.32,1.74,1.66,1.77,1.8,1.71,1.76,2.04,1.89,1.33,1.58,3.51,3.67,2.27,2.6,1.78,1.9,2.2,2.06,1.51,1.75,3.05,3.12
５人以上,平成24,2012,年平均,1.98,2.01,2.01,1.82,1.3,1.23,1.28,1.28,0.97,1.24,1.2,1.29,1.51,1.74,1.72,1.92,1.98,2.03,1.66,1.68,2.22,1.76,3.54,3.39,2.13,2.29,3.4,3.32,2.2,2.03,1.98,1.9,2.39,2.44
５人以上,平成25,2013,年平均,2.09,2.05,1.63,1.49,1.22,1.26,1.17,1.3,1.17,4.05,1.16,1.22,1.66,1.64,1.72,1.84,1.93,1.97,1.52,1.66,2.67,1.91,4.14,3.95,2.86,2.78,3.8,3.49,2.12,2,1.71,2.12,2.44,2.23
５人以上,平成26,2014,年平均,2.12,1.98,1.92,1.52,1.25,1.18,1.2,1.2,1.37,1.66,1.37,1.06,1.7,1.59,1.81,1.79,1.7,1.74,1.8,1.71,2.47,2.09,4.28,4.02,2.6,2.34,3.39,3.28,2.06,1.89,1.6,1.82,2.47,2.29
５人以上,平成27,2015,年平均,2.26,2.19,－,－,1.29,1.17,1.33,1.34,1.41,1.59,1.61,1.6,1.9,1.79,1.93,1.97,1.76,1.65,1.99,2.02,1.8,1.36,4.34,4.26,2.78,2.79,3.71,3.64,2.56,2.42,2.3,1.83,2.66,2.56
５人以上,平成28,2016,年平均,2.35,2.21,－,－,1.2,1.12,1.27,1.2,1.27,1,1.58,1.47,1.83,1.9,2.14,1.98,1.8,1.64,2.32,1.96,1.6,1.41,4.89,4.7,3.51,3.3,3.54,3.26,2.52,2.24,2.03,1.93,2.83,2.73
５人以上,平成28,2016,1月,1.52,1.87,－,－,0.74,1.03,0.93,0.97,0.1,0.34,1.09,1.13,0.83,1.15,1.52,1.64,1.23,1.36,1.29,1.31,1.03,0.96,3.11,4.16,1.48,3.23,1.87,2.22,1.4,1.95,0.02,0.82,2.32,2.98
５人以上,平成28,2016,2月,1.74,1.85,－,－,0.89,0.87,0.7,0.95,0.05,0.74,0.85,0.94,1.87,1.58,1.65,1.77,0.69,1.04,1.68,1.45,1.26,1.04,3.86,4.75,2.91,2.95,1.62,2.45,1.51,1.79,1.31,1.1,3,2.28
５人以上,平成28,2016,3月,2.09,2.29,－,－,0.87,1.02,1.12,1.16,0.21,0.86,1.05,1.22,1.29,1.94,1.88,2.18,1.17,1.74,2.71,1.92,2.23,1.23,5.21,5.6,5.38,2.46,1.45,4.27,2.05,2.13,1.16,3.12,2.55,2.57
５人以上,平成28,2016,4月,6.71,4.74,－,－,3.85,2.15,4.86,3.33,7.77,3.7,5.95,2.92,5.5,3.87,5.45,4.08,8.21,5.12,8.1,4.57,4,2.74,7.46,8.13,7.36,6.53,15.65,12.27,9.21,5.46,14.18,12.22,6.13,3.67
