規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,461187,455409,418882,36527,5778,128220,127636,121423,6213,584
100～499人,433520,406264,376341,29923,27256,119328,117636,112747,4889,1692
100人以上,446874,429985,396874,33111,16889,122988,121752,116318,5434,1236
30～99人,399009,378586,355873,22713,20423,107121,104898,101930,2968,2223
５～29人,373398,349683,331950,17733,23715,92652,91814,88916,2898,838
30人以上,431902,413908,384050,29858,17994,115157,113434,109217,4217,1723
５人以上,416478,396976,370314,26662,19502,104871,103552,99938,3614,1319
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年８月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
