規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,515402,461313,418707,42606,54089,138843,136057,128584,7473,2786
100～499人,500711,414496,380985,33511,86215,118648,117030,112286,4744,1618
100人以上,507673,436681,398860,37821,70992,127429,125303,119372,5931,2126
30～99人,410972,383436,357484,25952,27536,108071,106593,103735,2858,1478
５～29人,373351,347637,329372,18265,25714,96747,95873,92696,3177,874
30人以上,477297,419956,385863,34093,57341,117824,116020,111614,4406,1804
５人以上,450580,401368,371344,30024,49212,108089,106714,102875,3839,1375
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年３月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
