規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,417693,494651,288403,411808,487503,284641,376947,34861,5885,7148,3762
100～499人,371154,430332,264017,361227,420700,253558,334548,26679,9927,9632,10459
100人以上,392930,459993,275717,384895,451506,268471,354387,30508,8035,8487,7246
30～99人,312112,377696,225866,306037,371528,219914,287608,18429,6075,6168,5952
５～29人,264269,330034,183196,254285,316292,177844,241799,12486,9984,13742,5352
30人以上,364756,433379,256351,357404,425642,249608,331107,26297,7352,7737,6743
５人以上,333823,403800,231521,325661,394344,225250,303616,22045,8162,9456,6271
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年２月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
