規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.8,157.7,142.3,15.4,13,84.2,81.2,3
100～499人,18.8,158.5,144.1,14.4,14.9,91.2,88.1,3.1
100人以上,18.8,158.1,143.2,14.9,14.1,88.4,85.3,3.1
30～99人,19.2,159.3,147.1,12.2,13.9,81.1,78.8,2.3
５～29人,19.5,162.6,151.1,11.5,12.7,78.4,75.4,3
30人以上,18.9,158.4,144.4,14,14,84.8,82.1,2.7
５人以上,19.1,159.6,146.2,13.4,13.4,81.8,79,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年８月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
