規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,463893,457241,417908,39333,6652,128835,127748,120846,6902,1087
100～499人,420980,409342,378314,31028,11638,114429,113323,109051,4272,1106
100人以上,441370,432101,397127,34974,9269,120585,119487,114091,5396,1098
30～99人,387016,381028,357010,24018,5988,111244,104936,101496,3440,6308
５～29人,362028,346460,328451,18009,15568,95332,94997,92056,2941,335
30人以上,424266,416030,384504,31526,8236,116003,112349,107913,4436,3654
５人以上,408160,398027,369998,28029,10133,106539,104405,100653,3752,2134
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年２月分,,,,,,,,,,
第10表  規模、就業形態別労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
