規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,632967,1.2,86.9,89,1.27,0.01
30人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
30人以上,建設業,827089,16.5,87.4,89.3,1.68,0.1
30人以上,製造業,944242,-0.7,88.1,91,1.58,0.04
30人以上,電気・ガス・熱供給・水道業,844490,15.6,41.7,67.1,2.04,0.33
30人以上,情報通信業,657445,1.9,86.9,90.8,1.29,0.11
30人以上,運輸業，郵便業,622395,7,92.3,94.2,1.31,0.1
30人以上,卸売業，小売業,674959,3.5,87.2,90.4,1.4,0.13
30人以上,"金融業,保険業",1045182,-4,91.3,90.3,2.14,-0.19
30人以上,不動産業，物品賃貸業,619879,3,89.6,91.5,1.63,0.09
30人以上,学術研究，専門・技術サービス業,807314,0.3,93.6,90.4,1.49,-0.25
30人以上,宿泊業，飲食サービス業,113086,5.2,85.1,88.2,0.37,-0.03
30人以上,生活関連サービス業，娯楽業,204672,-24.2,84.6,75.6,0.94,-0.14
30人以上,教育，学習支援業,560048,1.8,91.9,92.2,1.43,0.06
30人以上,医療，福祉,399203,-5.4,79.8,78.3,1.17,-0.05
30人以上,複合サービス事業,517557,4.8,100,100,1.36,-0.09
30人以上,サービス業（他に分類されないもの）,314700,-5.8,79.7,85.3,1.05,-0.03
30～99人,調査産業計,417437,1.8,86.3,85.3,1.17,0
30～99人,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
30～99人,建設業,529041,3,83.4,82.9,1.43,0.03
30～99人,製造業,650800,15.1,87.6,86.3,1.42,0.09
30～99人,電気・ガス・熱供給・水道業,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ,Ｘ
30～99人,情報通信業,430341,22.6,87.5,86.2,1.13,0.13
30～99人,運輸業，郵便業,339233,0.8,90.9,85.6,1.15,0.03
30～99人,卸売業，小売業,424276,11.5,86.3,87.6,1.33,0.15
