規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.6,155.3,139.6,15.7,13.2,85.8,82,3.8
100～499人,18.9,160.3,144.6,15.7,14.9,90.3,87,3.3
100人以上,18.8,157.8,142.1,15.7,14.2,88.4,84.9,3.5
30～99人,19.5,161.9,148.9,13,14,81.2,78.9,2.3
５～29人,20.1,167.3,155.2,12.1,12.8,78.3,75.4,2.9
30人以上,19,159.1,144.2,14.9,14.1,84.8,81.9,2.9
５人以上,19.3,161.2,147.1,14.1,13.5,81.8,78.9,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１２月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
