規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.5,156.1,139.2,16.9,13.1,85.4,82.2,3.2
100～499人,18.9,160.7,144.5,16.2,14.6,87.7,84.9,2.8
100人以上,18.7,158.5,142,16.5,13.9,86.7,83.7,3
30～99人,19.6,163.6,150.1,13.5,14.2,83,80.1,2.9
５～29人,20.5,169.9,158,11.9,13.3,80.4,78,2.4
30人以上,19,160.1,144.5,15.6,14,84.9,82,2.9
５人以上,19.4,162.6,148,14.6,13.7,82.9,80.2,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年２月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
