規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,18.7,155.9,140.6,15.3,13.5,87.7,84.6,3.1
100～499人,19.1,160.9,145.8,15.1,14.8,90.4,87.5,2.9
100人以上,18.9,158.5,143.3,15.2,14.3,89.3,86.3,3
30～99人,19.7,164.5,151,13.5,14.2,82.9,80.7,2.2
５～29人,20.4,169.2,158,11.2,12.8,78.1,75.6,2.5
30人以上,19.1,160.4,145.7,14.7,14.3,86.1,83.5,2.6
５人以上,19.5,162.7,148.9,13.8,13.6,82.4,79.8,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年９月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
