規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.5,18.3,155.9,163.6,143.2,140.3,145.6,131.5,15.6,18,11.7
100～499人,19,19.5,18.2,155.4,165.2,137.4,140.8,147.8,128,14.6,17.4,9.4
100人以上,19,19.5,18.2,155.6,164.5,140.2,140.5,146.8,129.7,15.1,17.7,10.5
30～99人,18.7,19.6,17.6,147.4,161.9,128.2,136.3,147.6,121.4,11.1,14.3,6.8
５～29人,18.3,19.5,16.9,140.7,158.1,120,132.4,146.9,115,8.3,11.2,5
30人以上,18.9,19.5,18,152.8,163.6,135.6,139.1,147,126.5,13.7,16.6,9.1
５人以上,18.7,19.5,17.6,149.1,162.1,130.3,137,147,122.6,12.1,15.1,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年４月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
