規模,産業,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５人以上,調査産業計,18,18.7,17,142.8,155,125.1,131.8,141.1,118.4,11,13.9,6.7
５人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－,－,－,－,－,－,－
５人以上,建設業,20.7,21,19.3,178.4,182.5,156.5,160.7,163.2,147.3,17.7,19.3,9.2
５人以上,製造業,19,19.3,18.3,156.6,162.5,142.1,145.3,149.8,134.2,11.3,12.7,7.9
５人以上,電気・ガス・熱供給・水道業,18.3,18.6,17,161.6,164.7,147.1,145.3,147.5,135.3,16.3,17.2,11.8
５人以上,情報通信業,18.6,18.9,17.9,159.6,163.3,148.3,141.4,144,133.4,18.2,19.3,14.9
５人以上,"運輸業,郵便業",19.3,19.6,18.1,166.6,172.7,142.4,148.3,152.1,133.2,18.3,20.6,9.2
５人以上,"卸売業,小売業",18.2,18.9,17.4,141,152.4,125.9,133.3,142.6,120.9,7.7,9.8,5
５人以上,"金融業,保険業",18.2,18.7,17.6,151.2,161.9,138.8,134.1,140.8,126.3,17.1,21.1,12.5
５人以上,"不動産業,物品賃貸業",19,19.6,17.9,154.3,163.7,137.4,141.2,148.3,128.4,13.1,15.4,9
５人以上,"学術研究,専門・技術サービス業",18.5,18.7,17.9,150.1,154.5,140.3,136.3,139.6,129.1,13.8,14.9,11.2
５人以上,"宿泊業,飲食サービス業",14.5,15.9,13.5,101,122.1,84.7,94.8,111.8,81.6,6.2,10.3,3.1
５人以上,"生活関連サービス業,娯楽業",17.4,18,16.9,133.5,141.3,126.7,126.3,133.7,119.9,7.2,7.6,6.8
５人以上,"教育,学習支援業",15.3,15.2,15.5,110.4,109.2,111.5,106.3,104.8,107.7,4.1,4.4,3.8
５人以上,"医療,福祉",17.6,17.8,17.5,126.9,137.4,123.4,122.1,130.4,119.3,4.8,7,4.1
５人以上,複合サービス事業,17.9,18.6,17.2,141.1,149,133.3,135.3,141.4,129.3,5.8,7.6,4
５人以上,サービス業（他に分類されないもの）,18.4,18.9,17.6,142.7,153.3,128.8,132.1,140.3,121.3,10.6,13,7.5
30人以上,調査産業計,18.2,18.7,17.4,145.9,156,130,133.6,140.9,122.1,12.3,15.1,7.9
30人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－,－,－,－,－,－,－
30人以上,建設業,20.2,20.4,19.1,177.8,180.2,161.9,157.2,158.3,149.7,20.6,21.9,12.2
30人以上,製造業,18.6,18.8,17.9,155.2,160.1,142.2,142.7,146.4,133,12.5,13.7,9.2
30人以上,電気・ガス・熱供給・水道業,18.1,18.3,17.3,162.6,165.4,151.9,145.2,146.9,138.7,17.4,18.5,13.2
30人以上,情報通信業,18.5,18.8,17.7,160.3,163.8,148,140.6,143.1,132,19.7,20.7,16
30人以上,"運輸業,郵便業",19,19.2,18,165.1,170.4,144.7,147.2,150.3,135.5,17.9,20.1,9.2
30人以上,"卸売業,小売業",18.5,19,17.8,143.8,153.7,130,135.2,143.2,123.9,8.6,10.5,6.1
30人以上,"金融業,保険業",18.1,18.6,17.5,151.4,162.2,138.9,133,139.5,125.4,18.4,22.7,13.5
30人以上,"不動産業,物品賃貸業",18.7,19.2,17.7,151.5,160.3,135.4,138,145.1,125.1,13.5,15.2,10.3
30人以上,"学術研究,専門・技術サービス業",18.4,18.6,17.8,149.4,153,139.5,134.7,137.6,126.9,14.7,15.4,12.6
30人以上,"宿泊業,飲食サービス業",15.2,16.5,14.1,105,124.4,89.3,98.8,114.7,86,6.2,9.7,3.3
30人以上,"生活関連サービス業,娯楽業",17.3,18.4,16.6,131.4,142.5,123.4,124.6,135.9,116.4,6.8,6.6,7
30人以上,"教育,学習支援業",15.4,15.2,15.7,111.3,108.9,113.7,107,104.5,109.6,4.3,4.4,4.1
30人以上,"医療,福祉",18.2,18.1,18.2,131,138,128.4,125.9,131.7,123.8,5.1,6.3,4.6
30人以上,複合サービス事業,18.6,19.3,17.4,145.4,151.4,134.4,137.8,141.3,131.3,7.6,10.1,3.1
30人以上,サービス業（他に分類されないもの）,18.5,19.2,17.6,143.1,155.1,128.6,132,141.2,120.9,11.1,13.9,7.7
,,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年９月分,,,,,,,,,,,,,
第２表  産業、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,,
