規模,産業,１人平均支給額（円）,前年比（％）,支給事業所数割合（％）,支給労働者数割合（％）,平均支給月数（か月）,前年支給月数差（か月）
30人以上,調査産業計,589360,-3,88.8,89.6,1.3,-0.14
30人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
30人以上,建設業,607780,-1.7,87.6,92.7,1.39,-0.14
30人以上,製造業,907771,15.7,90.6,91.6,1.57,0.21
30人以上,電気・ガス・熱供給・水道業,949215,10.3,21.1,62.5,2.68,0.02
30人以上,情報通信業,614198,-14.2,89.8,93.3,1.37,-0.35
30人以上,運輸業，郵便業,562311,-4.1,91.5,93,1.39,-0.43
30人以上,卸売業，小売業,601044,10.3,92.8,93.3,1.32,0.01
30人以上,"金融業,保険業",840079,-26.3,98.6,94.8,1.88,-0.05
30人以上,不動産業，物品賃貸業,607615,-2.2,89.2,91.5,1.59,0.04
30人以上,学術研究，専門・技術サービス業,718085,9.4,87.7,83.7,1.6,-0.19
30人以上,宿泊業，飲食サービス業,131073,-5.3,85.6,87.6,0.5,0.03
30人以上,生活関連サービス業，娯楽業,241436,-20.2,81.9,78.8,1.07,0.13
30人以上,教育，学習支援業,665460,-0.6,99.3,99.5,1.71,-0.19
30人以上,医療，福祉,461277,2,86.1,85.4,1.36,-0.01
30人以上,複合サービス事業,653048,14.5,67.1,77.3,1.82,0.15
30人以上,サービス業（他に分類されないもの）,316743,-11.3,82,76.5,1.07,-0.17
30～99人,調査産業計,393923,-9,88.6,89.5,1.23,-0.16
30～99人,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
30～99人,建設業,478270,-22.1,83.4,81.6,1.33,-0.2
30～99人,製造業,583448,44.2,91.1,89.5,1.42,0.31
30～99人,電気・ガス・熱供給・水道業,X,X,X,X,X,X
30～99人,情報通信業,284279,-43.4,88.4,91.6,1.16,-0.53
30～99人,運輸業，郵便業,386530,-43.5,90,83.6,1.34,-0.69
30～99人,卸売業，小売業,405533,1.1,93.1,92.5,1.26,0.03
30～99人,"金融業,保険業",592977,-9.6,100,100,1.85,0.06
30～99人,不動産業，物品賃貸業,533308,3.6,87.7,89.9,1.56,0.14
30～99人,学術研究，専門・技術サービス業,691068,41.2,88.2,87.7,1.54,-0.14
30～99人,宿泊業，飲食サービス業,91192,-12.4,85.7,87.7,0.48,0.03
30～99人,生活関連サービス業，娯楽業,259124,29.7,81.8,76.4,1.11,0.21
30～99人,教育，学習支援業,476005,-13.8,100,100,1.63,-0.21
30～99人,医療，福祉,340532,15.2,85.7,84.3,1.36,0.04
30～99人,複合サービス事業,600920,10.2,66.7,72.8,1.82,0.15
30～99人,サービス業（他に分類されないもの）,339521,-25.8,82.7,88.4,1.09,-0.23
100～499人,調査産業計,552796,2.9,89.4,88.6,1.5,0.01
100～499人,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
100～499人,建設業,499461,-6.2,100,100,1.48,-0.03
100～499人,製造業,758782,9.5,86.8,86.3,1.87,0.09
100～499人,電気・ガス・熱供給・水道業,X,X,X,X,X,X
100～499人,情報通信業,604737,3.4,91.7,88.7,1.66,0.02
100～499人,運輸業，郵便業,570445,21.4,95.2,97.1,1.46,0.21
100～499人,卸売業，小売業,611052,20.4,91.5,93.2,1.53,0.09
100～499人,"金融業,保険業",788472,-35.1,95.3,92.6,1.91,-0.29
100～499人,不動産業，物品賃貸業,527403,-1.8,92.5,91,1.58,-0.1
100～499人,学術研究，専門・技術サービス業,692995,27.6,84.9,83.4,1.88,0.02
100～499人,宿泊業，飲食サービス業,238079,9,83.6,88.4,0.86,0.1
100～499人,生活関連サービス業，娯楽業,206413,-26.5,83,83.9,0.7,-0.25
100～499人,教育，学習支援業,963571,19,92.9,97,2.33,-0.15
100～499人,医療，福祉,421864,-5.5,86.2,74.8,1.32,-0.07
100～499人,複合サービス事業,X,X,X,X,X,X
100～499人,サービス業（他に分類されないもの）,249170,-8,81.1,82.4,0.88,-0.14
500人以上,調査産業計,906661,0.8,91,91.2,2.26,0.07
500人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－
500人以上,建設業,1022150,35,100,100,2.25,0.59
500人以上,製造業,1137783,8.8,93.6,95.5,2.76,0.21
500人以上,電気・ガス・熱供給・水道業,949215,11.5,57.1,82.2,2.68,0.37
500人以上,情報通信業,882598,-2.9,97.2,98.8,2.34,0.18
500人以上,運輸業，郵便業,790518,2.9,94,98.1,1.97,-0.02
500人以上,卸売業，小売業,971181,26.2,94.9,95.3,2,0.03
500人以上,"金融業,保険業",972251,-23.4,93.7,94,2.23,-0.46
500人以上,不動産業，物品賃貸業,1002004,-12.4,96.2,96.3,2.38,-0.06
500人以上,学術研究，専門・技術サービス業,871779,-13.6,81.8,73.2,2.2,-0.3
500人以上,宿泊業，飲食サービス業,451861,0.8,80,86,2.01,0.44
500人以上,生活関連サービス業，娯楽業,－,－,－,－,－,－
500人以上,教育，学習支援業,777966,8.9,100,100,2.15,-0.04
500人以上,医療，福祉,623507,-9.7,100,100,1.81,-0.34
500人以上,複合サービス事業,X,X,X,X,X,X
500人以上,サービス業（他に分類されないもの）,582010,11.9,57.9,38.5,2,0.36
,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２７年冬季,,,,,,,
第21表  賞与の産業別及び規模別支給状況,,,,,,,
注１）「１人平均支給額」は、賞与を支給した事業所における常用労働者１人当たりの平均賞与支給額です。,,,,,,,
　２）「支給事業所数割合」は、賞与を支給した事業所数を全事業所数で除した値です。,,,,,,,
　３）「支給労働者数割合」は、賞与を支給した事業所の全常用労働者数を全事業所の全常用労働者数で除した値です。,,,,,,,
　４）「平均支給月数」は、賞与を支給した各事業所における賞与の所定内給与に対する割合を単純平均したものです。,,,,,,,
　５）「前年比」は、平成27年１月の抽出替えに伴うギャップ修正により、実数で計算したものとは必ずしも一致しません。,,,,,,,
