規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.8,18.2,17.2,146.5,153.6,134.2,131.4,136,123.5,15.1,17.6,10.7
100～499人,18.2,18.7,17.3,148.8,158.8,130.5,134.8,141.8,122,14,17,8.5
100人以上,18,18.5,17.2,147.7,156.5,132.3,133.2,139.2,122.7,14.5,17.3,9.6
30～99人,18.1,19,17,141.7,156.8,122,131.1,142.8,115.8,10.6,14,6.2
５～29人,17.9,19,16.5,137.1,153.6,116.7,128.7,142.2,112,8.4,11.4,4.7
30人以上,18,18.6,17.1,145.6,156.5,128.3,132.5,140.3,120,13.1,16.2,8.3
５人以上,18,18.7,16.9,143,155.7,124.4,131.3,140.9,117.3,11.7,14.8,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年２月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
