事業所規模,産業,和暦年,西暦年,年平均・月,前月末労働者数／計(人),前月末労働者数／男(人),前月末労働者数／女(人),本月中の増加労働者数／計(人),本月中の増加労働者数／男(人),本月中の増加労働者数／女(人),本月中の減少労働者数／計(人),本月中の減少労働者数／男(人),本月中の減少労働者数／女(人),本月末労働者数／計(人),本月末労働者数／男(人),本月末労働者数／女(人),パートタイム労働者比率／計(％),パートタイム労働者比率／男(％),パートタイム労働者比率／女(％)
30人以上,TL 調査産業計,平成23,2011,年平均,4695712,2911544,1784168,84970,45778,39192,86667,47639,39028,4694015,2909683,1784332,16.4,8.3,29.5
30人以上,TL 調査産業計,平成24,2012,年平均,5016328,3136233,1880095,92336,50948,41388,94391,52499,41892,5014273,3134682,1879591,17.6,8.9,32.1
30人以上,TL 調査産業計,平成25,2013,年平均,5004937,3134864,1870073,95372,53156,42216,93680,53652,40029,5006629,3134368,1872260,17.8,9.2,32.3
30人以上,TL 調査産業計,平成26,2014,年平均,5051564,3127988,1923576,94820,51394,43426,89561,50469,39092,5056823,3128913,1927910,17.6,9.1,31.4
30人以上,TL 調査産業計,平成27,2015,年平均,5039024,3097411,1941613,104235,55782,48453,101392,54982,46410,5041867,3098211,1943656,18.7,10.2,32.3
30人以上,TL 調査産業計,平成28,2016,年平均,5083165,3106100,1977064,107253,56371,50882,103105,54982,48123,5087313,3107489,1979823,19.3,10.4,33.4
30人以上,TL 調査産業計,平成28,2016,1月,5057039,3098220,1958819,66739,33901,32838,86522,43237,43285,5037256,3088884,1948372,19.5,10.4,33.9
30人以上,TL 調査産業計,平成28,2016,2月,5041120,3084623,1956497,75663,41306,34357,76955,37411,39544,5039828,3088518,1951310,19.3,10.3,33.5
30人以上,TL 調査産業計,平成28,2016,3月,5041126,3092749,1948377,88201,41481,46720,103808,55598,48210,5025519,3078632,1946887,19.1,10.1,33.4
30人以上,TL 調査産業計,平成28,2016,4月,5024216,3072022,1952194,353255,204523,148732,236332,135844,100488,5141139,3140701,2000438,19.1,10.5,32.7
30人以上,TL 調査産業計,平成28,2016,5月,5137582,3150809,1986773,114331,49645,64686,125087,65180,59907,5126826,3135274,1991552,18.7,10.2,32.3
30人以上,TL 調査産業計,平成28,2016,6月,5121784,3128320,1993464,84683,43765,40918,82098,43874,38224,5124369,3128211,1996158,19.2,10.3,33
30人以上,TL 調査産業計,平成28,2016,7月,5120884,3122642,1998242,84709,48191,36518,104504,59963,44541,5101089,3110870,1990219,19.4,10.5,33.3
30人以上,TL 調査産業計,平成28,2016,8月,5103090,3094537,2008553,67330,32887,34443,91265,45429,45836,5079155,3081995,1997160,19.5,10.4,33.5
30人以上,TL 調査産業計,平成28,2016,9月,5080639,3110711,1969928,92687,45093,47594,75071,37343,37728,5098255,3118461,1979794,19.6,10.6,33.7
30人以上,TL 調査産業計,平成28,2016,10月,5082997,3108431,1974566,113437,61424,52013,110168,62745,47423,5086266,3107110,1979156,19.6,10.5,33.8
30人以上,TL 調査産業計,平成28,2016,11月,5088293,3100305,1987988,81736,43399,38337,76623,38768,37855,5093406,3104936,1988470,19.4,10.3,33.7
30人以上,TL 調査産業計,平成28,2016,12月,5099205,3109835,1989370,64269,30842,33427,68826,34386,34440,5094648,3106291,1988357,19.7,10.6,34
30人以上,C 鉱業，採石業，砂利採取業,平成23,2011,年平均,2217,1732,485,37,30,7,29,25,4,2225,1737,488,0.4,0.5,0.1
30人以上,C 鉱業，採石業，砂利採取業,平成24,2012,年平均,1834,1487,347,37,33,4,33,30,3,1838,1490,348,1.1,0.9,1.5
30人以上,C 鉱業，採石業，砂利採取業,平成25,2013,年平均,1727,1384,343,27,22,5,24,21,3,1730,1385,345,2.4,2.2,3.4
30人以上,C 鉱業，採石業，砂利採取業,平成26,2014,年平均,1906,1501,405,36,30,7,29,25,4,1913,1506,408,2.7,2.6,3
30人以上,C 鉱業，採石業，砂利採取業,平成27,2015,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,年平均,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,1月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,2月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,3月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,4月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,5月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,6月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,7月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,8月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,9月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,10月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,11月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,C 鉱業，採石業，砂利採取業,平成28,2016,12月,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,D 建設業,平成23,2011,年平均,194039,169422,24618,2091,1823,268,2307,1941,366,193823,169304,24520,1.6,0.6,8.7
30人以上,D 建設業,平成24,2012,年平均,210124,182529,27595,2752,2370,382,2677,2276,401,210199,182623,27576,1.6,0.8,6.4
30人以上,D 建設業,平成25,2013,年平均,212250,183831,28419,2429,2035,395,2591,2317,274,212088,183549,28540,1.8,1,7.1
30人以上,D 建設業,平成26,2014,年平均,211632,181700,29932,2689,2093,596,2438,2016,422,211883,181777,30106,2.2,1.4,6.8
30人以上,D 建設業,平成27,2015,年平均,213193,184305,28888,2374,1966,408,2061,1681,380,213506,184590,28916,0.8,0.5,2.4
30人以上,D 建設業,平成28,2016,年平均,216002,187206,28796,2024,1694,330,2085,1830,255,215941,187070,28871,0.7,0.4,2.2
30人以上,D 建設業,平成28,2016,1月,214829,186105,28724,1066,958,108,1944,1734,210,213951,185329,28622,0.8,0.6,2.1
30人以上,D 建設業,平成28,2016,2月,213951,185427,28524,1141,1016,125,985,871,114,214107,185572,28535,0.6,0.4,2.5
30人以上,D 建設業,平成28,2016,3月,214107,185879,28228,1788,1402,386,1408,1298,110,214487,185983,28504,0.6,0.4,2.4
30人以上,D 建設業,平成28,2016,4月,214487,185970,28517,9983,8219,1764,5452,4542,910,219018,189647,29371,0.6,0.4,1.9
30人以上,D 建設業,平成28,2016,5月,219018,188986,30032,1804,1511,293,3073,2675,398,217749,187822,29927,0.6,0.4,1.9
30人以上,D 建設業,平成28,2016,6月,217749,187611,30138,1248,1189,59,1581,1520,61,217416,187280,30136,0.6,0.4,1.9
30人以上,D 建設業,平成28,2016,7月,217416,187725,29691,1360,1045,315,1067,920,147,217709,187850,29859,0.6,0.4,1.8
30人以上,D 建設業,平成28,2016,8月,217709,187850,29859,708,407,301,1406,795,611,217011,187462,29549,0.6,0.4,1.9
30人以上,D 建設業,平成28,2016,9月,217011,189101,27910,1553,1381,172,2493,2297,196,216071,188185,27886,0.7,0.4,2.3
30人以上,D 建設業,平成28,2016,10月,216071,188172,27899,1234,1074,160,2502,2380,122,214803,186866,27937,0.7,0.4,2.5
30人以上,D 建設業,平成28,2016,11月,214803,186845,27958,1657,1477,180,1589,1444,145,214871,186878,27993,0.7,0.4,2.5
30人以上,D 建設業,平成28,2016,12月,214871,186805,28066,748,650,98,1523,1483,40,214096,185972,28124,0.7,0.4,2.4
30人以上,E 製造業,平成23,2011,年平均,512861,392817,120044,6629,5020,1609,7057,5406,1650,512433,392431,120003,5.8,2.9,15.1
30人以上,E 製造業,平成24,2012,年平均,550968,421410,129558,7158,5191,1967,6983,5332,1651,551143,421269,129874,5,2.1,14.3
30人以上,E 製造業,平成25,2013,年平均,544417,415078,129339,6531,4975,1556,7215,5488,1727,543733,414565,129168,5.3,2.2,15.1
30人以上,E 製造業,平成26,2014,年平均,540614,406949,133665,6264,4424,1840,6560,4853,1707,540318,406520,133798,5.4,2.1,15.3
30人以上,E 製造業,平成27,2015,年平均,494790,364674,130115,6745,4490,2255,7031,4957,2074,494504,364207,130296,5.9,1.8,17.7
30人以上,E 製造業,平成28,2016,年平均,502308,365101,137207,6526,4526,2001,5995,4246,1749,502839,365381,137459,6.3,1.9,18
30人以上,E 製造業,平成28,2016,1月,504399,368674,135725,4356,3124,1232,4456,2829,1627,504299,368969,135330,6,1.7,17.9
30人以上,E 製造業,平成28,2016,2月,508163,372789,135374,3677,2411,1266,4680,3015,1665,507160,372185,134975,6.3,2,18.1
30人以上,E 製造業,平成28,2016,3月,508458,372606,135852,5349,3112,2237,6338,4161,2177,507469,371557,135912,6.4,2,18.5
30人以上,E 製造業,平成28,2016,4月,506166,370659,135507,28187,21674,6513,19155,15338,3817,515198,376995,138203,6.1,1.9,17.5
30人以上,E 製造業,平成28,2016,5月,511641,373315,138326,4970,2775,2195,5158,3601,1557,511453,372489,138964,6.1,2,17.2
30人以上,E 製造業,平成28,2016,6月,506411,368034,138377,4364,2986,1378,6952,4977,1975,503823,366043,137780,6.3,2,17.9
