規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.8,19.2,18,153,160.4,140.8,138.6,143.6,130.4,14.4,16.8,10.4
100～499人,18.9,19.4,18.1,153,162.9,135.5,139.8,147,127.1,13.2,15.9,8.4
100人以上,18.8,19.3,18,153,161.7,138.1,139.2,145.4,128.7,13.8,16.3,9.4
30～99人,18.6,19.4,17.4,143.9,158.6,124.2,134.2,146,118.5,9.7,12.6,5.7
５～29人,18,19.2,16.6,139,155.6,119.1,130.3,143.8,114.2,8.7,11.8,4.9
30人以上,18.7,19.4,17.8,149.8,160.7,132.8,137.5,145.6,124.8,12.3,15.1,8
５人以上,18.5,19.3,17.4,146.5,159.3,128,135.3,145.1,121.1,11.2,14.2,6.9
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年７月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
