規模,産業,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５人以上,調査産業計,18.5,153.9,140.4,13.5,13.6,82.3,79.4,2.9
５人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－,－,－
５人以上,建設業,18.6,159.6,144.4,15.2,14.3,97.8,94.7,3.1
５人以上,製造業,17.9,150.1,138.6,11.5,15,100,96.8,3.2
５人以上,電気・ガス・熱供給・水道業,17.3,154.9,137.1,17.8,13.2,116.4,116,0.4
５人以上,情報通信業,18,155.6,138.2,17.4,12.2,82.2,78.9,3.3
５人以上,"運輸業,郵便業",18.8,166.4,147.7,18.7,13.8,100.8,91.3,9.5
５人以上,"卸売業,小売業",18.7,146.7,136.9,9.8,14.7,90.7,87.6,3.1
５人以上,"金融業,保険業",18,153,133.7,19.3,13.6,85.3,84.2,1.1
５人以上,"不動産業,物品賃貸業",19,160.2,145.4,14.8,14.2,84.5,79.8,4.7
５人以上,"学術研究,専門・技術サービス業",17.8,150.6,133.2,17.4,13.1,90.1,88.6,1.5
５人以上,"宿泊業,飲食サービス業",21.4,185.9,168.5,17.4,13.2,79.5,76,3.5
５人以上,"生活関連サービス業,娯楽業",20.7,168.8,160.6,8.2,14.6,96.3,94.2,2.1
５人以上,"教育,学習支援業",18.2,140.8,134.9,5.9,8.4,44.4,43.8,0.6
５人以上,"医療,福祉",19.1,150.1,142.6,7.5,12.7,65.9,64.9,1
５人以上,複合サービス事業,17.6,144.2,135.5,8.7,15.9,113.7,111.4,2.3
５人以上,サービス業（他に分類されないもの）,18.5,154.6,140.7,13.9,15.1,91.8,88.7,3.1
30人以上,調査産業計,18.4,152.6,138.1,14.5,14,84.9,81.9,3
30人以上,"鉱業,採石業,砂利採取業",－,－,－,－,－,－,－,－
30人以上,建設業,18.4,160.5,143.2,17.3,13.2,90.7,87.2,3.5
30人以上,製造業,17.8,150.9,138.3,12.6,14.6,102.4,98.3,4.1
30人以上,電気・ガス・熱供給・水道業,17.3,154.9,137.1,17.8,13.2,116.4,116,0.4
30人以上,情報通信業,18,155.8,137.8,18,11.7,78.6,75.8,2.8
30人以上,"運輸業,郵便業",18.7,166.4,147.4,19,13.8,103.1,92.9,10.2
30人以上,"卸売業,小売業",18.5,141.4,130.9,10.5,16,98.3,94.3,4
30人以上,"金融業,保険業",17.9,153.8,132.9,20.9,13.9,87.1,85.8,1.3
30人以上,"不動産業,物品賃貸業",18.6,157.6,141.1,16.5,14.4,81.2,76.8,4.4
30人以上,"学術研究,専門・技術サービス業",17.9,152.3,133,19.3,14,99,96,3
30人以上,"宿泊業,飲食サービス業",20.5,175.4,161.4,14,13.5,78,75.7,2.3
30人以上,"生活関連サービス業,娯楽業",20.1,161.8,153.1,8.7,14.9,100,98.6,1.4
30人以上,"教育,学習支援業",18.2,139.8,134.1,5.7,7.7,42.3,41.8,0.5
30人以上,"医療,福祉",19,149,141.5,7.5,13.7,69.3,68,1.3
30人以上,複合サービス事業,17.9,143.6,135.1,8.5,16,116.6,113.5,3.1
30人以上,サービス業（他に分類されないもの）,18.5,154.6,139.6,15,15.3,93.8,90.5,3.3
,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年５月分,,,,,,,,,
第６表  産業、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,
