規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1198294,463531,425861,37670,734763,143648,128524,122013,6511,15124
100～499人,946908,410294,378348,31946,536614,131980,117398,111944,5454,14582
100人以上,1068993,436149,401423,34726,632844,136702,121901,116019,5882,14801
30～99人,837921,379804,354591,25213,458117,118085,104010,101281,2729,14075
５～29人,654040,351143,332205,18938,302897,102307,93701,90632,3069,8606
30人以上,997255,418656,386884,31772,578599,127344,112908,108611,4297,14436
５人以上,906679,400839,372454,28385,505840,115804,104055,100324,3731,11749
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１２月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
