規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,473401,459666,424132,35534,13735,135831,132877,126155,6722,2954
100～499人,435902,407592,377904,29688,28310,118836,117613,112841,4772,1223
100人以上,454011,432740,400229,32511,21271,125762,123834,118267,5567,1928
30～99人,392824,380989,358237,22752,11835,108072,107758,104972,2786,314
５～29人,362482,351643,334349,17294,10839,92436,92145,89379,2766,291
30人以上,434862,416544,387087,29457,18318,116969,115843,111659,4184,1126
５人以上,415858,399503,373240,26263,16355,105661,104920,101389,3531,741
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年９月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
