規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.1,18.3,17.7,147.9,154.1,138.1,134.2,138.1,128,13.7,16,10.1
100～499人,18.2,18.5,17.5,147.1,156.3,130.7,134.6,141.1,123.1,12.5,15.2,7.6
100人以上,18.1,18.4,17.6,147.5,155.3,134.3,134.4,139.7,125.5,13.1,15.6,8.8
30～99人,17.7,18.5,16.6,137.6,152.1,118.7,128.1,139.6,113.2,9.5,12.5,5.5
５～29人,17,18.1,15.6,131.9,148.2,112.5,123.5,136.8,107.7,8.4,11.4,4.8
30人以上,18,18.5,17.2,144,154.3,128.4,132.2,139.7,120.8,11.8,14.6,7.6
５人以上,17.7,18.4,16.7,140.2,152.6,122.9,129.5,138.9,116.3,10.7,13.7,6.6
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年８月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
