事業所規模,和暦年,西暦年,年平均・月,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
５～29人,平成23,2011,年平均,18.1,19.2,16.7,138.4,154.4,118,131,144.4,113.9,7.4,10,4.1
５～29人,平成24,2012,年平均,18.1,19.3,16.8,138.9,155.5,119,131,144.8,114.4,7.9,10.7,4.6
５～29人,平成25,2013,年平均,17.9,19,16.5,136.8,153.4,117,128.6,142.4,112.1,8.2,11,4.9
５～29人,平成26,2014,年平均,17.6,18.8,16.2,134.6,151.7,114.3,126.3,140.5,109.4,8.3,11.2,4.9
５～29人,平成27,2015,年平均,17.6,18.8,16.2,136.1,153.3,115,127.6,141.7,110.3,8.5,11.6,4.7
５～29人,平成28,2016,年平均,17.6,18.7,16.2,135.5,151.9,115.7,127.1,140.6,110.9,8.4,11.3,4.8
５～29人,平成28,2016,1月,16.3,17.3,15.2,125.3,140.2,107.2,117.1,129.2,102.4,8.2,11,4.8
５～29人,平成28,2016,2月,17.9,19,16.5,137.1,153.6,116.7,128.7,142.2,112,8.4,11.4,4.7
５～29人,平成28,2016,3月,18.1,19.2,16.7,138.9,155.4,118.9,130.4,144,113.9,8.5,11.4,5
５～29人,平成28,2016,4月,18.3,19.5,16.9,140.7,158.1,120,132.4,146.9,115,8.3,11.2,5
５～29人,平成28,2016,5月,16.9,17.8,15.7,129.2,144.1,111.2,121.5,133.8,106.7,7.7,10.3,4.5
５～29人,平成28,2016,6月,18.5,19.6,17.1,141.3,158.6,120.8,133.3,147.7,116.3,8,10.9,4.5
５～29人,平成28,2016,7月,18,19.2,16.6,139,155.6,119.1,130.3,143.8,114.2,8.7,11.8,4.9
５～29人,平成28,2016,8月,17,18.1,15.6,131.9,148.2,112.5,123.5,136.8,107.7,8.4,11.4,4.8
５～29人,平成28,2016,9月,17.6,18.7,16.2,135.8,152.5,116.1,127.8,141.5,111.6,8,11,4.5
５～29人,平成28,2016,10月,17.4,18.6,16,134.4,151.2,114.8,125.8,139.4,109.9,8.6,11.8,4.9
５～29人,平成28,2016,11月,17.7,18.9,16.2,136.9,153.8,116.8,128.1,141.9,111.8,8.8,11.9,5
５～29人,平成28,2016,12月,17.4,18.6,15.9,134.5,151.6,114.3,125.8,139.8,109.3,8.7,11.8,5
30～99人,平成23,2011,年平均,18.3,19.2,17.1,143.6,156.9,124.6,132.9,143.6,117.7,10.7,13.3,6.9
30～99人,平成24,2012,年平均,18.9,19.6,18,150.8,164.7,130.7,138.2,148.2,123.8,12.6,16.5,6.9
30～99人,平成25,2013,年平均,18.7,19.3,17.7,148.9,162.7,128.7,136.2,146.1,121.6,12.7,16.6,7.1
30～99人,平成26,2014,年平均,18.6,19.3,17.6,149,162.5,129.6,135.9,145.5,122.1,13.1,17,7.5
30～99人,平成27,2015,年平均,18.1,18.9,17,142.3,157.1,122.6,130.9,142.1,116,11.4,15,6.6
30～99人,平成28,2016,年平均,18.1,19,17,140.6,154.8,122,130.4,141.5,115.9,10.2,13.3,6.1
30～99人,平成28,2016,1月,16.8,17.5,15.9,131.1,144.2,114.4,121.3,131.4,108.4,9.8,12.8,6
30～99人,平成28,2016,2月,18.1,19,17,141.7,156.8,122,131.1,142.8,115.8,10.6,14,6.2
30～99人,平成28,2016,3月,18.6,19.6,17.4,146.1,161.8,125.8,135.1,147.4,119.2,11,14.4,6.6
30～99人,平成28,2016,4月,18.7,19.6,17.6,147.4,161.9,128.2,136.3,147.6,121.4,11.1,14.3,6.8
30～99人,平成28,2016,5月,17.2,17.9,16.4,130.7,141.5,116.3,121.2,129.5,110.2,9.5,12,6.1
30～99人,平成28,2016,6月,19.2,20.1,18.1,145.2,158.8,127,135.1,146,120.5,10.1,12.8,6.5
30～99人,平成28,2016,7月,18.6,19.4,17.4,143.9,158.6,124.2,134.2,146,118.5,9.7,12.6,5.7
30～99人,平成28,2016,8月,17.7,18.5,16.6,137.6,152.1,118.7,128.1,139.6,113.2,9.5,12.5,5.5
30～99人,平成28,2016,9月,18.2,18.9,17.2,141.9,155.6,123.8,131.5,141.9,117.7,10.4,13.7,6.1
30～99人,平成28,2016,10月,17.9,18.8,16.8,139.3,153.7,120.2,128.9,140.1,114.1,10.4,13.6,6.1
30～99人,平成28,2016,11月,18.5,19.3,17.3,143.7,158.7,124,133.2,144.9,117.8,10.5,13.8,6.2
30～99人,平成28,2016,12月,17.9,18.8,16.7,139,153.9,119.2,129,140.8,113.4,10,13.1,5.8
100～499人,平成23,2011,年平均,18.6,19.1,17.8,151.2,159.9,137.1,137.6,143.9,127.3,13.6,16,9.8
100～499人,平成24,2012,年平均,18.8,19.3,18,152.8,162.7,135.4,138.6,145.5,126.6,14.2,17.2,8.8
100～499人,平成25,2013,年平均,18.5,19,17.7,150.5,160.1,134,136.4,143.1,124.9,14.1,17,9.1
100～499人,平成26,2014,年平均,18.4,18.9,17.5,149.6,159.9,132.7,135.3,142.6,123.3,14.3,17.3,9.4
100～499人,平成27,2015,年平均,18.5,18.9,17.7,150.8,160.2,133.9,136.7,143.2,125,14.1,17,8.9
100～499人,平成28,2016,年平均,18.4,18.9,17.6,150.2,159.8,132.5,136.5,143.3,124,13.7,16.5,8.5
100～499人,平成28,2016,1月,17.5,17.9,16.7,143.2,152.3,126.6,129.5,135.7,118.1,13.7,16.6,8.5
100～499人,平成28,2016,2月,18.2,18.7,17.3,148.8,158.8,130.5,134.8,141.8,122,14,17,8.5
100～499人,平成28,2016,3月,19,19.5,18,155.8,165.7,137.3,140.6,147.6,127.6,15.2,18.1,9.7
100～499人,平成28,2016,4月,19,19.5,18.2,155.4,165.2,137.4,140.8,147.8,128,14.6,17.4,9.4
100～499人,平成28,2016,5月,17.7,18,17.2,144.6,152.9,129.6,131.2,136.9,121,13.4,16,8.6
100～499人,平成28,2016,6月,19.4,19.9,18.5,156,166.6,137.4,142.6,150.3,129,13.4,16.3,8.4
100～499人,平成28,2016,7月,18.9,19.4,18.1,153,162.9,135.5,139.8,147,127.1,13.2,15.9,8.4
100～499人,平成28,2016,8月,18.2,18.5,17.5,147.1,156.3,130.7,134.6,141.1,123.1,12.5,15.2,7.6
100～499人,平成28,2016,9月,18.4,18.8,17.5,149,158.9,131.1,136,143,123.3,13,15.9,7.8
100～499人,平成28,2016,10月,18.3,18.8,17.4,149.2,158.9,131.2,135.5,142.4,122.8,13.7,16.5,8.4
100～499人,平成28,2016,11月,18.6,19.1,17.6,151.1,161.3,132.5,137.3,144.6,124.1,13.8,16.7,8.4
100～499人,平成28,2016,12月,18.2,18.7,17.4,148.4,158.5,130.5,134.8,141.9,122.1,13.6,16.6,8.4
500人以上,平成23,2011,年平均,18.8,19.2,18.1,155.1,160.8,143.6,140,144,131.8,15.1,16.8,11.8
500人以上,平成24,2012,年平均,19,19.3,18.3,153.9,159.9,142.4,139.5,143.7,131.5,14.4,16.2,10.9
500人以上,平成25,2013,年平均,18.5,18.9,17.8,151.2,157.4,139.7,136.7,141.1,128.6,14.5,16.3,11.1
500人以上,平成26,2014,年平均,18.6,18.9,18,150.9,157,140,136.4,140.5,129,14.5,16.5,11
500人以上,平成27,2015,年平均,18.3,18.6,17.6,150.2,157.2,138.3,135,139.5,127.4,15.2,17.7,10.9
500人以上,平成28,2016,年平均,18.3,18.6,17.6,149.5,156.7,137.8,134.9,139.8,127,14.6,16.9,10.8
500人以上,平成28,2016,1月,17.2,17.6,16.5,141.2,148.5,129,126.8,131.7,118.5,14.4,16.8,10.5
500人以上,平成28,2016,2月,17.8,18.2,17.2,146.5,153.6,134.2,131.4,136,123.5,15.1,17.6,10.7
500人以上,平成28,2016,3月,19,19.4,18.2,156.1,164.2,142.8,140.2,145.7,131.2,15.9,18.5,11.6
500人以上,平成28,2016,4月,19,19.5,18.3,155.9,163.6,143.2,140.3,145.6,131.5,15.6,18,11.7
500人以上,平成28,2016,5月,17.7,18,17.2,145.2,151.9,134.1,130.7,135.1,123.4,14.5,16.8,10.7
500人以上,平成28,2016,6月,19,19.3,18.4,155,162.1,143.4,140.2,144.8,132.7,14.8,17.3,10.7
