事業所規模,産業,夏季／1人平均支給額(円),夏季／1人平均支給額／前年比(％),夏季／支給事業所数割合(％),夏季／支給労働者数割合(％),夏季／平均支給月数(か月),夏季／平均支給月数／前年月数差(か月),冬季／1人平均支給額(円),冬季／1人平均支給額／前年比(％),冬季／支給事業所数割合(％),冬季／支給労働者数割合(％),冬季／平均支給月数(か月),冬季／平均支給月数／前年月数差(か月)
30人以上,TL 調査産業計,632967,1.2,86.9,89,1.27,0.01,596551,1.2,88.1,88.9,1.31,0.01
30人以上,C 鉱業，採石業，砂利採取業,－,－,－,－,－,－,－,－,－,－,－,－
30人以上,D 建設業,827089,16.5,87.4,89.3,1.68,0.1,664202,9.3,82.5,85,1.46,0.07
30人以上,E 製造業,944242,-0.7,88.1,91,1.58,0.04,879490,-3.1,87.7,92.5,1.64,0.07
30人以上,F 電気・ガス・熱供給・水道業,844490,15.6,41.7,67.1,2.04,0.33,1005916,6,21.1,63.3,2.71,0.03
30人以上,G 情報通信業,657445,1.9,86.9,90.8,1.29,0.11,640896,4.3,92.6,94.1,1.39,0.02
30人以上,"H 運輸業,郵便業",622395,7,92.3,94.2,1.31,0.1,545153,-3.1,91.4,92.9,1.34,-0.05
30人以上,"I 卸売業,小売業",674959,3.5,87.2,90.4,1.4,0.13,646460,7.6,92.7,94.4,1.42,0.1
30人以上,"J 金融業,保険業",1045182,-4,91.3,90.3,2.14,-0.19,859737,2.3,86.2,88,2.01,0.13
30人以上,"K 不動産業,物品賃貸業",619879,3,89.6,91.5,1.63,0.09,672280,10.6,84.8,89.1,1.75,0.16
30人以上,"L 学術研究,専門・技術サービス業",807314,0.3,93.6,90.4,1.49,-0.25,726216,1.1,78.2,81.4,1.6,0
30人以上,"M 宿泊業,飲食サービス業",113086,5.2,85.1,88.2,0.37,-0.03,120911,-7.8,89.1,91.3,0.48,-0.02
30人以上,"N 生活関連サービス業,娯楽業",204672,-24.2,84.6,75.6,0.94,-0.14,210539,-12.8,89.1,76.4,0.99,-0.08
30人以上,"O 教育,学習支援業",560048,1.8,91.9,92.2,1.43,0.06,680193,2.2,99,98.5,1.75,0.04
