規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,463506,543661,329512,416488,492486,289442,378724,37764,47018,51175,40070
100～499人,440488,511502,308170,367608,426444,257980,338631,28977,72880,85058,50190
100人以上,451262,526241,318529,390487,456712,273250,357397,33090,60775,69529,45279
30～99人,328430,401673,233451,307995,374285,222033,288336,19659,20435,27388,11418
５～29人,270881,337744,189294,254369,316150,178983,241694,12675,16512,21594,10311
30人以上,408392,486201,285117,361696,430217,253136,333294,28402,46696,55984,31981
５人以上,366098,443920,252458,328686,397731,227863,305121,23565,37412,46189,24595
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年３月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
