規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,18.3,18.7,17.6,149.8,157.2,137.8,135.3,140.5,127,14.5,16.7,10.8
100～499人,18.3,18.8,17.4,149.2,158.9,131.2,135.5,142.4,122.8,13.7,16.5,8.4
100人以上,18.3,18.8,17.5,149.4,158.1,134.5,135.4,141.5,124.9,14,16.6,9.6
30～99人,17.9,18.8,16.8,139.3,153.7,120.2,128.9,140.1,114.1,10.4,13.6,6.1
５～29人,17.4,18.6,16,134.4,151.2,114.8,125.8,139.4,109.9,8.6,11.8,4.9
30人以上,18.2,18.8,17.2,145.9,156.7,128.9,133.1,141.1,120.7,12.8,15.6,8.2
５人以上,17.9,18.7,16.8,142.4,155.1,124,130.9,140.6,116.9,11.5,14.5,7.1
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１０月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
