規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,483670,462744,422554,40190,20926,128615,127814,121497,6317,801
100～499人,433737,409505,377702,31803,24232,119110,117379,112199,5180,1731
100人以上,457942,435312,399443,35869,22630,122987,121635,115991,5644,1352
30～99人,397965,383892,357206,26686,14073,106341,104877,102079,2798,1464
５～29人,359227,350826,332259,18567,8401,91424,91161,88421,2740,263
30人以上,439107,419164,386179,32985,19943,114632,113224,109008,4216,1408
５人以上,418058,401157,371971,29186,16901,103957,103076,99539,3537,881
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１０月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
