規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,441015,522426,302768,411615,486415,284595,377396,34219,29400,36011,18173
100～499人,397763,466484,270498,363388,422087,254682,337245,26143,34375,44397,15816
100人以上,418061,492304,286089,386021,451777,269134,356088,29933,32040,40527,16955
30～99人,308300,377257,219619,295780,361682,211028,277952,17828,12520,15575,8591
５～29人,261587,325241,183750,250146,311998,174512,237853,12293,11441,13243,9238
30人以上,379713,455412,259843,354493,422886,246191,328789,25704,25220,32526,13652
５人以上,343314,418238,233890,322340,391219,221743,300769,21571,20974,27019,12147
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
