規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,437790,515450,310854,419464,495030,295951,383651,35813,18326,20420,14903
100～499人,380708,444165,265109,360268,419422,252508,332952,27316,20440,24743,12601
100人以上,407719,477191,287540,388280,454451,273810,356943,31337,19439,22740,13730
30～99人,316412,385404,225105,305865,372082,218230,285859,20006,10547,13322,6875
５～29人,261099,326190,184840,255680,318991,181507,242913,12767,5419,7199,3333
30人以上,375692,447187,263296,359372,427526,252228,332010,27362,16320,19661,11068
５人以上,339895,412554,235849,326980,396460,227487,304177,22803,12915,16094,8362
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１０月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
