規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,1087221,458614,419191,39423,628607,143001,132722,126052,6670,10279
100～499人,821271,405513,375183,30330,415758,127164,117829,112679,5150,9335
100人以上,949676,431151,396431,34720,518525,133671,123948,118174,5774,9723
30～99人,674752,376751,353654,23097,298001,111488,105365,102092,3273,6123
５～29人,500935,348711,331382,17329,152224,100458,97381,94768,2613,3077
30人以上,862807,413962,382915,31047,448845,122966,114980,110413,4567,7986
５人以上,769028,397052,369560,27492,371976,112636,106903,103233,3670,5733
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年６月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
