規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,19,19.4,18.2,156.1,164.2,142.8,140.2,145.7,131.2,15.9,18.5,11.6
100～499人,19,19.5,18,155.8,165.7,137.3,140.6,147.6,127.6,15.2,18.1,9.7
100人以上,19,19.5,18.1,155.9,165,139.9,140.4,146.7,129.3,15.5,18.3,10.6
30～99人,18.6,19.6,17.4,146.1,161.8,125.8,135.1,147.4,119.2,11,14.4,6.6
５～29人,18.1,19.2,16.7,138.9,155.4,118.9,130.4,144,113.9,8.5,11.4,5
30人以上,18.9,19.5,17.8,152.5,163.9,134.4,138.6,146.9,125.4,13.9,17,9
５人以上,18.6,19.4,17.5,148.4,161.5,129.2,136.1,146.1,121.5,12.3,15.4,7.7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年３月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
