規模,出勤日数／計(日),出勤日数／男(日),出勤日数／女(日),総実労働時間／計(時間),総実労働時間／男(時間),総実労働時間／女(時間),所定内労働時間／計(時間),所定内労働時間／男(時間),所定内労働時間／女(時間),所定外労働時間／計(時間),所定外労働時間／男(時間),所定外労働時間／女(時間)
500人以上,17.2,17.6,16.5,141.2,148.5,129,126.8,131.7,118.5,14.4,16.8,10.5
100～499人,17.5,17.9,16.7,143.2,152.3,126.6,129.5,135.7,118.1,13.7,16.6,8.5
100人以上,17.3,17.7,16.6,142.3,150.4,127.7,128.2,133.8,118.3,14.1,16.6,9.4
30～99人,16.8,17.5,15.9,131.1,144.2,114.4,121.3,131.4,108.4,9.8,12.8,6
５～29人,16.3,17.3,15.2,125.3,140.2,107.2,117.1,129.2,102.4,8.2,11,4.8
30人以上,17.1,17.7,16.3,138.4,148.4,122.5,125.8,133,114.4,12.6,15.4,8.1
５人以上,16.9,17.6,15.9,134.3,146.1,117.3,123.1,131.9,110.3,11.2,14.2,7
,,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１月分,,,,,,,,,,,,
第９表  規模、性別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,,,,,
調査産業計,,,,,,,,,,,,
