規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.8,166.4,148.6,17.8,13.9,91.6,88,3.6
100～499人,19.8,168.1,150.7,17.4,14.7,90,86.8,3.2
100人以上,19.8,167.3,149.7,17.6,14.4,90.7,87.3,3.4
30～99人,20.3,169.9,155.7,14.2,14.3,82.6,80.1,2.5
５～29人,20.8,172.8,160.9,11.9,13.4,81.4,78.7,2.7
30人以上,19.9,168.1,151.6,16.5,14.3,86.6,83.7,2.9
５人以上,20.2,169.4,154,15.4,13.9,84.3,81.4,2.9
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年３月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
