規模,一般労働者／現金給与総額(円),一般労働者／きまって支給する給与(円),一般労働者／所定内給与(円),一般労働者／所定外給与(円),一般労働者／特別に支払われた給与(円),パートタイム労働者／現金給与総額(円),パートタイム労働者／きまって支給する給与(円),パートタイム労働者／所定内給与(円),パートタイム労働者／所定外給与(円),パートタイム労働者／特別に支払われた給与(円)
500人以上,495193,468824,425945,42879,26369,133722,132297,124961,7336,1425
100～499人,447267,413109,380124,32985,34158,121687,118972,114213,4759,2715
100人以上,470180,439745,402030,37715,30435,126705,124528,118695,5833,2177
30～99人,403689,385261,359412,25849,18428,109711,109212,105375,3837,499
５～29人,369312,350420,331368,19052,18892,95567,95034,91936,3098,533
30人以上,449426,422739,388728,34011,26687,118240,116899,112060,4839,1341
５人以上,428767,404090,373936,30154,24677,107908,106935,102889,4046,973
,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年４月分,,,,,,,,,,
第10表  規模、就業形態別常用労働者の１人平均月間現金給与額,,,,,,,,,,
調査産業計,,,,,,,,,,
