規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,630696,759640,421401,416394,494318,289911,381383,35011,214302,265322,131490
100～499人,493344,581123,336662,357000,415507,252567,330705,26295,136344,165616,84095
100人以上,558119,663748,377890,385010,451984,270736,354605,30405,173109,211764,107154
30～99人,420850,523990,283447,303722,368727,217122,285927,17795,117128,155263,66325
５～29人,354482,454594,235168,256943,319111,182851,244066,12877,97539,135483,52317
30人以上,510248,618094,341697,356662,424787,250190,330654,26008,153586,193307,91507
５人以上,461961,571331,305008,325749,394562,226998,303812,21937,136212,176769,78010
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年７月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
