規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,17.9,150.3,134.1,16.2,12.9,84.4,80.9,3.5
100～499人,18.1,154,138.3,15.7,14.3,85.9,83,2.9
100人以上,18,152.3,136.3,16,13.6,85.3,82.1,3.2
30～99人,18.2,151.6,139,12.6,13.4,79,76.3,2.7
５～29人,18.5,154.2,142.6,11.6,12.7,77.4,74.7,2.7
30人以上,18,152,137.1,14.9,13.5,82.1,79.2,2.9
５人以上,18.2,152.7,138.6,14.1,13.1,79.9,77.1,2.8
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１月分,,,,,,,,
第11表  規模、就業形態別労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
