規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19.5,163,146.9,16.1,13.6,86.9,83.8,3.1
100～499人,19.7,165.2,150,15.2,15.2,92.6,89.4,3.2
100人以上,19.6,164.2,148.5,15.7,14.6,90.3,87.1,3.2
30～99人,20.1,166.9,154.5,12.4,14.4,82.6,80.2,2.4
５～29人,20.7,171.9,159.8,12.1,13.2,80.2,77.6,2.6
30人以上,19.8,165,150.4,14.6,14.5,86.5,83.7,2.8
５人以上,20,166.9,152.9,14,13.9,83.7,81,2.7
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年７月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
