事業所規模,和暦年,西暦年,年平均・月,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
５～29人,平成23,2011,年平均,20.3,167.3,156.9,10.4,13.8,83.1,81.5,1.6
５～29人,平成24,2012,年平均,20.5,168.7,157.7,11,13.8,82.8,80.7,2.1
５～29人,平成25,2013,年平均,20.4,168.5,157,11.5,13.5,80.2,77.9,2.3
５～29人,平成26,2014,年平均,20.3,168,156.2,11.8,13.2,79.2,76.7,2.5
５～29人,平成27,2015,年平均,20.3,169,157.1,11.9,13.2,80.9,78.1,2.8
５～29人,平成28,2016,年平均,20.2,167.9,156.2,11.7,13.1,79.4,76.7,2.7
５～29人,平成28,2016,1月,18.5,154.2,142.6,11.6,12.7,77.4,74.7,2.7
５～29人,平成28,2016,2月,20.5,169.9,158,11.9,13.3,80.4,78,2.4
５～29人,平成28,2016,3月,20.8,172.8,160.9,11.9,13.4,81.4,78.7,2.7
５～29人,平成28,2016,4月,21.2,175.6,163.9,11.7,13.4,80.8,78.2,2.6
５～29人,平成28,2016,5月,19,157.6,147.1,10.5,13.1,79.3,76.6,2.7
５～29人,平成28,2016,6月,21.2,175.7,164.6,11.1,13.6,81.3,78.7,2.6
５～29人,平成28,2016,7月,20.7,171.9,159.8,12.1,13.2,80.2,77.6,2.6
５～29人,平成28,2016,8月,19.5,162.6,151.1,11.5,12.7,78.4,75.4,3
５～29人,平成28,2016,9月,20.4,169.2,158,11.2,12.8,78.1,75.6,2.5
５～29人,平成28,2016,10月,20,167,154.9,12.1,12.9,78.1,75.5,2.6
５～29人,平成28,2016,11月,20.4,170.7,158.4,12.3,13,78.4,75.7,2.7
５～29人,平成28,2016,12月,20.1,167.3,155.2,12.1,12.8,78.3,75.4,2.9
