規模,現金給与総額／計(円),現金給与総額／男(円),現金給与総額／女(円),きまって支給する給与／計(円),きまって支給する給与／男(円),きまって支給する給与／女(円),所定内給与(円),所定外給与(円),特別に支払われた給与／計(円),特別に支払われた給与／男(円),特別に支払われた給与／女(円)
500人以上,447159,526513,317123,424104,500270,299292,385948,38156,23055,26243,17831
100～499人,393850,457373,277099,364851,422805,258334,336497,28354,28999,34568,18765
100人以上,418850,489076,296596,392638,458325,278286,359687,32951,26212,30751,18310
30～99人,322080,390667,232533,308629,372589,225123,288891,19738,13451,18078,7410
５～29人,268798,336146,187620,256647,319624,180737,243453,13194,12151,16522,6883
30人以上,385151,457323,271711,363383,430661,257635,335033,28350,21768,26662,14076
５人以上,349458,422966,243087,330640,399179,231460,306939,23701,18818,23787,11627
,,,,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年４月分,,,,,,,,,,,
第８表  規模、性別常用労働者の１人平均月間現金給与額,,,,,,,,,,,
調査産業計,,,,,,,,,,,
