規模,一般労働者／出勤日数(日),一般労働者／総実労働時間(時間),一般労働者／所定内労働時間(時間),一般労働者／所定外労働時間(時間),パートタイム労働者／出勤日数(日),パートタイム労働者／総実労働時間(時間),パートタイム労働者／所定内労働時間(時間),パートタイム労働者／所定外労働時間(時間)
500人以上,19,159.3,143.1,16.2,13.4,86.2,83.2,3
100～499人,19,161.1,145.3,15.8,14.7,89.9,86.8,3.1
100人以上,19,160.2,144.2,16,14.2,88.4,85.4,3
30～99人,19.5,162.1,148.6,13.5,14.1,80.7,78.4,2.3
５～29人,20,167,154.9,12.1,12.9,78.1,75.5,2.6
30人以上,19.2,160.8,145.6,15.2,14.1,84.6,81.9,2.7
５人以上,19.4,162.5,148.1,14.4,13.6,81.5,78.9,2.6
,,,,,,,,
東京都の賃金、労働時間及び雇用の動き（毎月勤労統計調査）平成２８年１０月分,,,,,,,,
第11表  規模、就業形態別常用労働者の１人平均月間出勤日数及び実労働時間数,,,,,,,,
調査産業計,,,,,,,,
