"年度[西暦]","款","当初予算 金額[千円]","当初予算 構成比[%]","最終補正後 金額[千円]","最終補正後 構成比[%]"
"2022","後期高齢者医療保険料","3837859","62.2","3945502","63.3"
"2022","使用料及び手数料","1","0.0","1","0.0"
"2022","繰入金","2211088","35.9","2075512","33.3"
"2022","繰越金","1","0.0","96813","1.6"
"2022","諸収入","116477","1.9","116477","1.9"
"2022","歳入合計","6165426","100.0","6234305","100.0"
"2023","後期高齢者医療保険料","4038138","62.4",,
"2023","使用料及び手数料","1","0.0",,
"2023","繰入金","2308470","35.7",,
"2023","繰越金","1","0.0",,
"2023","諸収入","120429","1.9",,
"2023","歳入合計","6467039","100.0",,

"令和5年度港区行政資料集　後期高齢者医療会計歳入予算","Ver202303",,,,
