"年月[西暦]","調査項目","設問","選択肢","件数[人]","(全体)[%]","(除不)[%]"
"202003","医療的ケアの状況について","Q17-5. 【問17-１で「１．必要がある」と回答された方のみ】日頃、医療的ケアを行っている人が留守や緊急時などに、医療的ケアをお願いできる人はいますか。（あてはまるものすべてに○）","家族（配偶者、母親、父親、その他の家族・親戚）","25","53.2","59.5"
"202003","医療的ケアの状況について","Q17-5. 【問17-１で「１．必要がある」と回答された方のみ】日頃、医療的ケアを行っている人が留守や緊急時などに、医療的ケアをお願いできる人はいますか。（あてはまるものすべてに○）","近所の人","0","0.0","0.0"
"202003","医療的ケアの状況について","Q17-5. 【問17-１で「１．必要がある」と回答された方のみ】日頃、医療的ケアを行っている人が留守や緊急時などに、医療的ケアをお願いできる人はいますか。（あてはまるものすべてに○）","友人","0","0.0","0.0"
"202003","医療的ケアの状況について","Q17-5. 【問17-１で「１．必要がある」と回答された方のみ】日頃、医療的ケアを行っている人が留守や緊急時などに、医療的ケアをお願いできる人はいますか。（あてはまるものすべてに○）","医師","15","31.9","35.7"
"202003","医療的ケアの状況について","Q17-5. 【問17-１で「１．必要がある」と回答された方のみ】日頃、医療的ケアを行っている人が留守や緊急時などに、医療的ケアをお願いできる人はいますか。（あてはまるものすべてに○）","看護師","8","17.0","19.0"
"202003","医療的ケアの状況について","Q17-5. 【問17-１で「１．必要がある」と回答された方のみ】日頃、医療的ケアを行っている人が留守や緊急時などに、医療的ケアをお願いできる人はいますか。（あてはまるものすべてに○）","ヘルパー","8","17.0","19.0"
"202003","医療的ケアの状況について","Q17-5. 【問17-１で「１．必要がある」と回答された方のみ】日頃、医療的ケアを行っている人が留守や緊急時などに、医療的ケアをお願いできる人はいますか。（あてはまるものすべてに○）","その他","11","23.4","26.2"
"202003","医療的ケアの状況について","Q17-5. 【問17-１で「１．必要がある」と回答された方のみ】日頃、医療的ケアを行っている人が留守や緊急時などに、医療的ケアをお願いできる人はいますか。（あてはまるものすべてに○）","無回答","5","10.6",

"港区保健福祉基礎調査（知的障害者）・単純集計表・医療的ケアの状況についてQ17-5","Ver202003",,,,,
