分類コード／部門名,Ｐ71／都事業所家計外消費支出（百万円）,Ｐ61／他県事業所家計外消費支出（百万円）,Ｐ72／民間消費支出（他県民支出を除く。）（百万円）,Ｐ92／他県民支出（百万円）,Ｐ73／一般政府消費支出（百万円）,Ｐ74／都内総固定資本形成（公的）（百万円）,Ｐ75／都内総固定資本形成（民間）（百万円）,Ｐ76／在庫純増（百万円）,Ｐ77／調整項（百万円）,Ｐ80／輸出（百万円）,Ｐ81／移出（百万円）,合計（百万円）
Ａ01／農林水産業（百万円）,5659,1137,49987,8798,1396,139,824,12,2,1267,31782,101002
Ａ06／鉱業（百万円）,106,27,2387,117,345,72,196,6,0,618,4500,8374
Ａ11／飲食料品（百万円）,44651,6938,368929,83909,6900,70,423,3026,6,11808,625667,1152326
Ａ15／繊維製品（百万円）,2511,146,38738,9656,2968,486,6380,-1178,3,2057,48772,110540
Ａ16／パルプ・紙・木製品（百万円）,2377,277,15926,2934,5580,4508,14785,-546,31,10551,189684,246106
Ａ20／化学製品（百万円）,3264,193,25461,2810,23425,547,1655,163,72,58859,368718,485168
Ａ21／石油・石炭製品（百万円）,371,68,6671,1617,1425,230,654,80,0,1160,9805,22081
Ａ22／プラスチック・ゴム（百万円）,1709,210,20813,3500,5661,2540,7988,-4,47,20071,204185,266720
Ａ25／窯業・土石製品（百万円）,624,83,5482,759,1510,6239,13764,7,35,18403,106634,153540
Ａ26／鉄鋼（百万円）,11,2,179,19,67,315,638,5,9,22926,153570,177740
Ａ27／非鉄金属（百万円）,15,2,275,24,92,147,411,-2,8,20110,72862,93945
Ａ28／金属製品（百万円）,1673,214,12887,1362,8307,14350,36791,25,42,12166,167304,255122
Ａ29／はん用機械（百万円）,42,8,704,74,401,1363,14615,9,21,13983,164047,195266
Ａ30／生産用機械（百万円）,82,14,1233,156,554,1416,43642,80,168,81412,268554,397311
Ａ31／業務用機械（百万円）,431,47,6283,691,9389,2749,57508,463,324,107296,325584,510765
Ａ32／電子部品（百万円）,576,50,13787,1288,7353,1867,13564,331,158,38673,385123,462768
Ａ33／電気機械（百万円）,2098,36,54611,3730,4406,13850,78809,2244,451,106980,470944,738159
Ａ34／情報・通信機器（百万円）,2809,23,70873,3732,4545,14657,132985,-2847,44,20346,363901,611068
Ａ35／輸送機械（百万円）,312,56,62311,2088,12615,3880,81102,-1886,718,395399,536217,1092812
Ａ39／その他の製造工業製品（百万円）,35475,2360,301022,54628,84399,18230,133741,-1727,158,41852,903779,1573917
Ａ41／建設（百万円）,28385,6163,636225,54238,206879,1751592,3771922,137,23,43628,560929,7060121
Ａ46／電力・ガス・熱供給（百万円）,46174,11112,987929,47922,140787,10411,40714,118,26,39714,403812,1728719
Ａ47／水道（百万円）,22356,5452,317361,22982,81401,2768,11115,45,4,10538,113334,587354
Ａ48／廃棄物処理（百万円）,18903,5019,108219,16373,213704,2310,8076,17,2,7615,67199,447437
Ａ51／商業（百万円）,440876,36441,4731760,836098,326671,154599,1122959,13206,108,526629,11213135,19402481
Ａ53／金融・保険（百万円）,37435,7337,3688267,796023,932779,31458,115000,252,37,333089,4654385,10596062
Ａ55／不動産（百万円）,51941,10425,11077174,262746,202949,25938,119526,326,28,65610,2233908,14050571
Ａ57／運輸・郵便（百万円）,104345,18560,1591393,364708,232073,44008,181828,2495,42,1072016,2557915,6169383
Ａ59／情報通信（百万円）,127251,18119,2644526,292843,515998,273165,1974230,-1540,532,328288,13073801,19247214
Ａ61／公務（百万円）,3420,652,165470,6599,5741715,7371,20828,19,5,7052,84822,6037952
Ａ63／教育・研究（百万円）,9450,1394,1603850,378040,1470712,14574,81885,-66,119,86552,1130729,4777238
Ａ64／医療・福祉（百万円）,143509,60,1663331,171261,4302752,194,827,1,0,785,9943,6292663
Ａ65／その他の非営利団体サービス（百万円）,4461,1109,452209,148972,12218,2066,6905,4,2,9955,77552,715454
Ａ66／対事業所サービス（百万円）,170573,29643,2451735,320522,1162052,254566,908112,760,195,703771,12888397,18890326
Ａ67／対個人サービス（百万円）,1970432,551666,5600295,1269391,106391,4580,28843,13,8,165892,449271,10146781
Ａ68／事務用品（百万円）,3693,748,39871,7000,26498,1605,6856,19,2,4259,149656,240208
Ａ69／分類不明（百万円）,14558,2774,214328,28090,74928,31375,88653,80,19,30017,361045,845868
Ｂ10／本社（百万円）,90913,15183,1531857,214839,269967,136187,519408,825,132,201819,24471504,27452634
Ｆ70／財・サービス内生部門計（百万円）,3302558,718564,39032498,5205702,15931847,2700235,9128754,14147,3447,4421345,55431466,135890562
合計（百万円）,3393472,733746,40564355,5420541,16201814,2836422,9648162,14971,3578,4623164,79902970,163343196
,,,,,,,,,,,,
東京都産業連関表,,,,,,,,,,,,
１-４　平成23年（2011年）最終需要項目別生産誘発額表　（地域内表、統合大分類）,,,,,,,,,,,,
