分類コード／部門名,従業者総数（人）,個人業主（人）,家族従業者（人）,有給役員 雇用者（人）,有給役員 雇用者／有給役員（人）,有給役員 雇用者／雇用者（人）,有給役員 雇用者／雇用者／常用雇用者（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員以外（人）,有給役員 雇用者／雇用者／臨時雇用者（人）
Ｋ01／農林水産業,18569,9028,3329,6212,825,5387,4910,3569,1341,477
Ｋ06／鉱業,519,22,0,497,103,394,380,341,39,14
Ｋ11／飲食料品,42262,796,216,41250,2866,38384,35148,22973,12175,3236
Ｋ15／繊維製品,9201,1769,677,6755,575,6180,5363,3978,1385,817
Ｋ16／パルプ・紙・木製品,12140,1367,398,10375,1004,9371,8675,7169,1506,696
Ｋ20／化学製品,8174,30,6,8138,361,7777,7398,6203,1195,379
Ｋ21／石油・石炭製品,764,0,0,764,21,743,737,697,40,6
Ｋ22／プラスチック・ゴム,18922,1118,295,17509,1636,15873,15091,11830,3261,782
Ｋ25／窯業・土石製品,5945,279,75,5591,622,4969,4756,4098,658,213
Ｋ26／鉄鋼,3242,178,49,3015,268,2747,2649,2409,240,98
Ｋ27／非鉄金属,2144,245,51,1848,213,1635,1575,1372,203,60
Ｋ28／金属製品,19503,1898,503,17102,1670,15432,14748,12308,2440,684
Ｋ29／はん用機械,5153,413,82,4658,495,4163,3867,3287,580,296
Ｋ30／生産用機械,17940,844,218,16878,2248,14630,14066,12275,1791,564
Ｋ31／業務用機械,15107,561,150,14396,1068,13328,12806,10966,1840,522
Ｋ32／電子部品,12809,105,30,12674,770,11904,11524,9842,1682,380
Ｋ33／電気機械　　　　　　,20223,494,109,19620,1452,18168,17307,14829,2478,861
Ｋ34／情報・通信機器,13025,41,11,12973,204,12769,12551,11829,722,218
Ｋ35／輸送機械,17673,199,54,17420,578,16842,16187,14412,1775,655
Ｋ39／その他の製造工業製品,103464,5449,1760,96255,9067,87188,83140,69982,13158,4048
Ｋ41／建設,523801,17586,5197,501018,65004,436014,407258,344361,62897,28756
Ｋ46／電力・ガス・熱供給,11889,0,0,11889,208,11681,11639,10693,946,42
Ｋ47／水道,9901,0,0,9901,0,9901,9874,9081,793,27
Ｋ48／廃棄物処理,26061,242,113,25706,2369,23337,21615,17436,4179,1722
Ｋ51／商業,1372204,36367,12997,1322840,99684,1223156,1163452,757156,406296,59704
Ｋ53／金融・保険,293321,145,35,293141,4829,288312,286095,242888,43207,2217
Ｋ55／不動産,128398,12535,4192,111671,22622,89049,80799,57243,23556,8250
Ｋ57／運輸・郵便,313715,10506,2258,300951,13207,287744,273155,203298,69857,14589
Ｋ59／情報通信,406587,17899,355,388333,26267,362066,349004,304809,44195,13062
Ｋ61／公務,199849,0,0,199849,0,199849,198357,179446,18911,1492
Ｋ63／教育・研究,306721,2380,227,304114,4884,299230,275715,177038,98677,23515
Ｋ64／医療・福祉,455793,14543,2143,439107,12094,427013,382183,239957,142226,44830
Ｋ65／その他の非営利団体サービス,49470,2178,822,46470,7459,39011,37126,32256,4870,1885
Ｋ66／対事業所サービス,834483,60804,5282,768397,29951,738446,641822,349343,292479,96624
Ｋ67／対個人サービス,1202345,133400,39134,1029811,43697,986114,855486,325098,530388,130628
Ｋ69／分類不明,3373,29,12,3332,219,3113,3069,2709,360,44
Ｌ10／本社,2392593,0,0,2392593,186664,2205929,2205929,1567989,637940,0
合計,8877283,333450,80780,8463053,545204,7917849,7475456,5045170,2430286,442393
,,,,,,,,,,
東京都産業連関表,,,,,,,,,,
３-２　雇用表（東京都地域、統合大分類）,,,,,,,,,,
column0,column1,column1,column1,column2,column2,column3,column4,column4,,column3
