分類コード／部門名,従業者総数（人）,個人業主（人）,家族従業者（人）,有給役員 雇用者（人）,有給役員 雇用者／有給役員（人）,有給役員 雇用者／雇用者（人）,有給役員 雇用者／雇用者／常用雇用者（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員以外（人）,有給役員 雇用者／雇用者／臨時雇用者（人）
Ｍ011／耕種農業,3935414,1419651,2211677,304086,27702,276384,101373,44988,56385,175011
Ｍ012／畜産,259956,92459,98695,68802,8259,60543,48416,21558,26858,12127
Ｍ013／農業サービス,78520,7606,1510,69404,6058,63346,54322,37580,16742,9024
Ｍ015／林業,259762,136965,71123,51674,8789,42885,33154,25779,7375,9731
Ｍ017／漁業,241881,98979,52624,90278,5632,84646,68684,58127,10557,15962
Ｍ061／金属鉱物,277,0,0,277,27,250,250,188,62,0
Ｍ062／石炭・原油・天然ガス,2174,0,0,2174,50,2124,2075,1813,262,49
Ｍ063／非金属鉱物,26354,636,210,25508,3819,21689,20882,18228,2654,807
Ｍ111／食料品,1097571,55810,30409,1011352,40621,970731,930374,585053,345321,40357
Ｍ112／飲料,106622,5617,3590,97415,6051,91364,83401,62776,20625,7963
Ｍ113／飼料・有機質肥料（別掲を除く。）,11885,294,118,11473,825,10648,10400,8066,2334,248
Ｍ114／たばこ,6283,0,0,6283,9,6274,6242,5730,512,32
Ｍ151／繊維工業製品,123008,37887,16983,68138,6333,61805,59018,46484,12534,2787
Ｍ152／衣服・その他の繊維既製品,183068,44642,19166,119260,6474,112786,107228,84303,22925,5558
Ｍ161／木材・木製品,118408,20719,7771,89918,5629,84289,81654,66837,14817,2635
Ｍ162／家具・装備品,165598,46982,14509,104107,6284,97823,94533,78264,16269,3290
Ｍ163／パルプ・紙・板紙・加工紙,50358,923,418,49017,2155,46862,46023,39892,6131,839
Ｍ164／紙加工品,138992,9344,3648,126000,8082,117918,113752,92377,21375,4166
Ｍ191／印刷・製版・製本,211517,29877,10989,170651,8739,161912,149979,121677,28302,11933
Ｍ201／化学肥料,3547,12,7,3528,234,3294,3152,2741,411,142
Ｍ202／無機化学工業製品,19036,149,51,18836,742,18094,17586,14987,2599,508
Ｍ203／石油化学基礎製品,3005,0,0,3005,52,2953,2643,2219,424,310
Ｍ204／有機化学工業製品（石油化学基礎製品を除く。）,30589,42,10,30537,770,29767,29406,26257,3149,361
Ｍ205／合成樹脂,15273,17,7,15249,502,14747,14607,13172,1435,140
Ｍ206／化学繊維,5159,0,0,5159,233,4926,4665,3962,703,261
Ｍ207／医薬品,58472,37,14,58421,1425,56996,55592,44132,11460,1404
Ｍ208／化学最終製品（医薬品を除く。）,59781,541,163,59077,2542,56535,54190,44607,9583,2345
Ｍ211／石油製品,11762,0,0,11762,633,11129,11049,9944,1105,80
Ｍ212／石炭製品,6441,0,0,6441,350,6091,5940,4904,1036,151
Ｍ221／プラスチック製品,412736,18691,6456,387589,24650,362939,352501,253714,98787,10438
Ｍ222／ゴム製品,115538,5755,2339,107444,4679,102765,100247,80850,19397,2518
Ｍ231／なめし革・毛皮・同製品,31787,10138,4600,17049,1060,15989,15085,12828,2257,904
Ｍ251／ガラス・ガラス製品,45307,1877,634,42796,1773,41023,40369,34307,6062,654
Ｍ252／セメント・セメント製品,68812,976,396,67440,4384,63056,58472,50582,7890,4584
Ｍ253／陶磁器,54841,13048,5204,36589,2502,34087,32993,26957,6036,1094
Ｍ259／その他の窯業・土石製品,71180,7946,2619,60615,3396,57219,55222,47120,8102,1997
Ｍ261／銑鉄・粗鋼,27612,0,0,27612,1309,26303,25886,22825,3061,417
Ｍ262／鋼材,85207,0,0,85207,2809,82398,80657,72398,8259,1741
Ｍ263／鋳鍛造品,52704,1855,465,50384,3378,47006,46459,40942,5517,547
Ｍ269／その他の鉄鋼製品,50981,6017,1672,43292,2506,40786,39803,35092,4711,983
Ｍ271／非鉄金属製錬・精製,15271,772,188,14311,858,13453,13107,11169,1938,346
Ｍ272／非鉄金属加工製品,97245,5170,1488,90587,4460,86127,84381,71182,13199,1746
Ｍ281／建設・建築用金属製品,158431,13622,3911,140898,8522,132376,128318,111531,16787,4058
Ｍ289／その他の金属製品,506137,52999,15404,437734,26951,410783,399857,337605,62252,10926
Ｍ291／はん用機械,289044,11424,2942,274678,13130,261548,254216,215960,38256,7332
Ｍ301／生産用機械,501315,35138,8631,457546,27487,430059,421150,371404,49746,8909
Ｍ311／業務用機械,144133,5474,1446,137213,6491,130722,126227,103283,22944,4495
Ｍ321／電子デバイス,93302,0,0,93302,2364,90938,88495,80305,8190,2443
Ｍ329／その他の電子部品,225450,4047,1278,220125,8530,211595,206598,172448,34150,4997
Ｍ331／産業用電気機器,192043,7019,1908,183116,9208,173908,169068,136663,32405,4840
Ｍ332／民生用電気機器,39733,1165,381,38187,1271,36916,35614,28659,6955,1302
Ｍ333／電子応用装置・電気計測器,48417,951,245,47221,2161,45060,43763,36214,7549,1297
Ｍ339／その他の電気機械,53561,1252,334,51975,2179,49796,47570,39326,8244,2226
Ｍ341／通信機械・同関連機器,105946,720,183,105043,3007,102036,100201,84907,15294,1835
Ｍ342／電子計算機・同附属装置,51950,437,143,51370,1252,50118,49038,41596,7442,1080
Ｍ351／乗用車,97912,0,0,97912,1215,96697,92782,84596,8186,3915
Ｍ352／その他の自動車,38816,0,0,38816,690,38126,36874,31573,5301,1252
Ｍ353／自動車部品・同附属品,470101,10275,3269,456557,12156,444401,429742,366129,63613,14659
Ｍ354／船舶・同修理,88420,3776,1586,83058,4121,78937,77296,67275,10021,1641
Ｍ359／その他の輸送機械・同修理,80464,1361,450,78653,4581,74072,71997,59008,12989,2075
Ｍ391／その他の製造工業製品,203673,46517,14912,142244,7988,134256,126859,102591,24268,7397
Ｍ392／再生資源回収・加工処理,63693,17524,6821,39348,5917,33431,31253,23501,7752,2178
Ｍ411／建築,2204108,286291,84957,1832860,320177,1512683,1404219,1179148,225071,108464
Ｍ412／建設補修,920214,121636,34253,764325,135767,628558,585225,456886,128339,43333
Ｍ413／公共事業,1081254,147302,38937,895015,155200,739815,686983,558844,128139,52832
Ｍ419／その他の土木建設,740794,87649,25786,627359,107632,519727,485401,409705,75696,34326
Ｍ461／電力,133008,0,0,133008,1153,131855,131255,125419,5836,600
Ｍ462／ガス・熱供給,18136,0,0,18136,570,17566,17288,15589,1699,278
Ｍ471／水道,58142,0,0,58142,0,58142,56723,50354,6369,1419
Ｍ481／廃棄物処理,241582,7536,3236,230810,27610,203200,193073,155104,37969,10127
Ｍ511／商業,8160548,761442,464049,6935057,568982,6366075,5986480,3078600,2907880,379595
Ｍ531／金融・保険,1101386,29999,2604,1068783,27688,1041095,1036410,860581,175829,4685
Ｍ551／不動産仲介及び賃貸,202081,36979,10788,154314,45746,108568,99262,72265,26997,9306
Ｍ552／住宅賃貸料,394963,141208,26590,227165,97424,129741,118064,89437,28627,11677
Ｍ571／鉄道輸送,135630,0,0,135630,840,134790,128422,112509,15913,6368
Ｍ572／道路輸送（自家輸送を除く。）,1770969,43735,3136,1724098,74758,1649340,1550943,1225381,325562,98397
Ｍ574／水運,87128,1175,1057,84896,4294,80602,76521,69161,7360,4081
Ｍ575／航空輸送,24618,0,0,24618,269,24349,24157,22264,1893,192
Ｍ576／貨物利用運送,32454,1298,425,30731,1002,29729,28094,18550,9544,1635
Ｍ577／倉庫,58089,673,116,57300,1584,55716,52298,33742,18556,3418
Ｍ578／運輸附帯サービス,275589,49826,15067,210696,12799,197897,186106,119855,66251,11791
Ｍ579／郵便・信書便,181525,0,0,181525,178,181347,177293,68716,108577,4054
Ｍ591／通信,155637,686,92,154859,2649,152210,150552,135972,14580,1658
Ｍ592／放送,42891,8,3,42880,2548,40332,38710,31331,7379,1622
Ｍ593／情報サービス,447161,27675,726,418760,28711,390049,356080,308105,47975,33969
Ｍ594／インターネット附随サービス,50577,8559,181,41837,3366,38471,36992,31806,5186,1479
Ｍ595／映像・音声・文字情報制作,46084,20431,473,25180,3911,21269,17505,14354,3151,3764
Ｍ611／公務,1668252,0,0,1668252,0,1668252,1602133,1218674,383459,66119
