区分／分類コード／部門名,中間需要／1／農林水産・鉱業（百万円）,中間需要／2／製造業・建設（百万円）,中間需要／3／電力・ガス・水道（百万円）,中間需要／4／商業・金融・不動産（百万円）,中間需要／5／運輸・情報通信（百万円）,中間需要／6／公務・教育医療・サービス（百万円）,中間需要／7／本社（百万円）,中間需要／8／財・サービス内生部門計（百万円）,中間需要／9／内生部門計（百万円）,最終需要／10／都事業所家計外消費支出（百万円）,最終需要／11／他県事業所家計外消費支出（百万円）,最終需要／12／民間消費支出（他県民支出を除く。）（百万円）,最終需要／13／他県民支出（百万円）,最終需要／14／一般政府消費支出（百万円）,最終需要／15／都内総固定資本形成（百万円）,最終需要／16／在庫純増（百万円）,最終需要／17／調整項（百万円）,最終需要／18／都内最終需要計（百万円）,最終需要／19／都内需要合計（百万円）,最終需要／20／輸出（百万円）,最終需要／21／輸出計（百万円）,最終需要／22／移出（百万円）,最終需要／23／移輸出計（百万円）,最終需要／24／最終需要計（百万円）,最終需要／25／需要合計（百万円）,26／（控除）輸入（百万円）,27／（控除）輸入計（百万円）,28／移入（百万円）,29／都事業所家計外消費支出（百万円）,30／都民支出（百万円）,31／（控除）移輸入計（百万円）,32／最終需要部門計（百万円）,33／生産額（百万円）
中間投入／1／農林水産・鉱業（百万円）,2985,322825,634012,907,410,260482,0,1221621,1221621,14617,0,416047,62721,0,5059,405,42,498891,1720512,1142,1142,22432,23574,522465,1744086,-771912,-771912,-847758,0,-15040,-1634710,-1112245,109376
中間投入／2／製造業・建設（百万円）,18798,5464813,348629,1339828,2032223,5220111,338668,14424402,14763070,401157,0,6237609,1116849,18775,10042508,-3525,23907,17837280,32600350,913610,913610,4706003,5619613,23456893,38219963,-5066022,-5066022,-17061021,0,-247237,-22374280,1082613,15845683
中間投入／3／電力・ガス・水道（百万円）,709,150121,168304,390550,192038,901734,197483,1803456,2000939,1933,0,1237389,0,7384,0,0,0,1246706,3247645,8592,8592,0,8592,1255298,3256237,-468,-468,-939696,0,0,-940164,315134,2316073
中間投入／4／商業・金融・不動産（百万円）,8351,1182628,79083,3352237,1084755,3309935,3686045,9016989,12703034,380352,0,17604015,1779227,4442,1155964,16878,0,20940878,33643912,699421,699421,12429924,13129345,34070223,46773257,-266485,-266485,-2294733,0,-162925,-2724143,31346080,44049114
中間投入／5／運輸・情報通信（百万円）,5112,570804,133920,1918715,3351493,4266539,1359783,10246583,11606366,137351,13869,3740155,646573,-14558,2085065,1914,479,6610848,18217214,1110883,1110883,10524796,11635679,18246527,29852893,-758540,-758540,-3247630,-3999,-426127,-4436296,13810231,25416597
中間投入／6／公務・教育医療・サービス（百万円）,4868,1351178,248301,2490277,4209191,5470249,2517654,13774064,16291718,2397725,628969,10359396,2147903,11530505,171713,0,0,27236211,43527929,569223,569223,7233934,7803157,35039368,51331086,-640903,-640903,-1127705,-438382,-970377,-3177367,31862001,48153719
中間投入／7／本社（百万円）,969,1012731,78072,4568381,3591125,2466316,0,11717594,11717594,0,0,0,0,0,0,0,0,0,11717594,0,0,21010513,21010513,21010513,32728107,0,0,-5275473,0,0,-5275473,15735040,27452634
中間投入／8／財・サービス内生部門計（百万円）,40823,9042369,1612249,9492514,10870110,19429050,8099633,50487115,58586748,3333135,642838,39594611,5753273,11546548,13460309,15672,24428,74370814,132957562,3302871,3302871,34917089,38219960,112590774,171177522,-7504330,-7504330,-25518543,-442381,-1821706,-35286960,77303814,135890562
中間投入／9／内生部門計（百万円）,41792,10055100,1690321,14060895,14461235,21895366,8099633,62204709,70304342,3333135,642838,39594611,5753273,11546548,13460309,15672,24428,74370814,144675156,3302871,3302871,55927602,59230473,133601287,203905629,-7504330,-7504330,-30794016,-442381,-1821706,-40562433,93038854,163343196
粗付加価値／10／家計外消費支出（行）（百万円）,3548,206797,21450,805808,380095,799881,1115556,2217579,3333135,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／11／雇用者所得（百万円）,27985,4423729,243745,9679285,5147081,15884262,12126758,35406087,47532845,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／12／営業余剰（百万円）,23947,227012,-120094,11491602,2464861,3217297,3347830,17304625,20652455,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／13／資本減耗引当（百万円）,6205,629601,390960,6484931,2344481,5127521,1197228,14983699,16180927,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／14／間接税（関税・輸入品商品税を除く。）（百万円）,6332,398566,94619,1678414,641479,1326376,1565629,4145786,5711415,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／15／（控除）経常補助金（百万円）,-433,-95122,-4928,-151821,-22635,-96984,0,-371923,-371923,,,,,,,,,,,,,,,,,,,,,,,,
粗付加価値／16／粗付加価値部門計（百万円）,67584,5790583,625752,29988219,10955362,26258353,19353001,73685853,93038854,,,,,,,,,,,,,,,,,,,,,,,,
17／生産額（百万円）,109376,15845683,2316073,44049114,25416597,48153719,27452634,135890562,163343196,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都産業連関表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
１-１（５）　平成23年（2011年）東京都産業連関表　地域内表　（取引基本表、７部門分類）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
