区分／分類コード／部門名,中間需要／Ｋ01／農林水産業（百万円）,中間需要／Ｋ06／鉱業（百万円）,中間需要／Ｋ11／飲食料品（百万円）,中間需要／Ｋ15／繊維製品（百万円）,中間需要／Ｋ16／パルプ・紙・木製品（百万円）,中間需要／Ｋ20／化学製品（百万円）,中間需要／Ｋ21／石油・石炭製品（百万円）,中間需要／Ｋ22／プラスチック・ゴム（百万円）,中間需要／Ｋ25／窯業・土石製品（百万円）,中間需要／Ｋ26／鉄鋼（百万円）,中間需要／Ｋ27／非鉄金属（百万円）,中間需要／Ｋ28／金属製品（百万円）,中間需要／Ｋ29／はん用機械（百万円）,中間需要／Ｋ30／生産用機械（百万円）,中間需要／Ｋ31／業務用機械（百万円）,中間需要／Ｋ32／電子部品（百万円）,中間需要／Ｋ33／電気機械（百万円）,中間需要／Ｋ34／情報・通信機器（百万円）,中間需要／Ｋ35／輸送機械（百万円）,中間需要／Ｋ39／その他の製造工業製品（百万円）,中間需要／Ｋ41／建設（百万円）,中間需要／Ｋ46／電力・ガス・熱供給（百万円）,中間需要／Ｋ47／水道（百万円）,中間需要／Ｋ48／廃棄物処理（百万円）,中間需要／Ｋ51／商業（百万円）,中間需要／Ｋ53／金融・保険（百万円）,中間需要／Ｋ55／不動産（百万円）,中間需要／Ｋ57／運輸・郵便（百万円）,中間需要／Ｋ59／情報通信（百万円）,中間需要／Ｋ61／公務（百万円）,中間需要／Ｋ63／教育・研究（百万円）,中間需要／Ｋ64／医療・福祉（百万円）,中間需要／Ｋ65／その他の非営利団体サービス（百万円）,中間需要／Ｋ66／対事業所サービス（百万円）,中間需要／Ｋ67／対個人サービス（百万円）,中間需要／Ｋ68／事務用品（百万円）,中間需要／Ｋ69／分類不明（百万円）,中間需要／Ｌ10／本社（百万円）,中間需要／Ｒ70／財・サービス内生部門計（百万円）,中間需要／Ｒ71／内生部門計（百万円）,最終需要／Ｐ71／都事業所家計外消費支出（百万円）,最終需要／Ｐ61／他県事業所家計外消費支出（百万円）,最終需要／Ｐ72／民間消費支出（他県民支出を除く。）（百万円）,最終需要／Ｐ92／他県民支出（百万円）,最終需要／Ｐ73／一般政府消費支出（百万円）,最終需要／Ｐ74／都内総固定資本形成（公的）（百万円）,最終需要／Ｐ75／都内総固定資本形成（民間）（百万円）,最終需要／Ｐ76／在庫純増（百万円）,最終需要／Ｐ77／調整項（百万円）,最終需要／Ｒ78／都内最終需要計（百万円）,最終需要／Ｒ79／都内需要合計（百万円）,最終需要／Ｐ80／輸出（百万円）,最終需要／Ｒ81／輸出計（百万円）,最終需要／Ｐ81／移出（百万円）,最終需要／Ｒ82／移輸出計（百万円）,最終需要／Ｒ83／最終需要計（百万円）,最終需要／Ｒ84／需要合計（百万円）,Ｐ84／（控除）輸入（百万円）,Ｐ85／（控除）関税（百万円）,Ｐ86／（控除）輸入品商品税（百万円）,Ｒ87／（控除）輸入計（百万円）,Ｐ88／移入（百万円）,Ｑ71／都事業所家計外消費支出（百万円）,Ｑ72／都民支出（百万円）,Ｒ89／（控除）移輸入計（百万円）,Ｒ90／最終需要部門計（百万円）,Ｒ97／生産額（百万円）
中間投入／Ａ01／農林水産業（百万円）,2968,0,245434,259,1645,302,0,13159,55,0,4,0,0,0,0,0,0,0,0,6906,5531,0,0,0,891,0,16,390,0,749,3537,16159,1314,348,238196,0,0,0,537863,537863,15536,0,416269,62721,0,0,5504,-477,18,499571,1037434,643,643,19017,19660,519231,1057094,-110344,-4426,-5726,-120496,-820556,0,-15040,-956092,-436861,101002
中間投入／Ａ06／鉱業（百万円）,0,17,3,0,229,1018,1536,56,7780,115,10406,18,17,16,19,33,50,27,42,680,27485,634012,0,0,0,0,0,20,0,72,160,0,0,0,-111,0,58,0,683758,683758,-919,0,-222,0,0,0,-445,882,24,-680,683078,499,499,3415,3914,3234,686992,-609459,0,-41957,-651416,-27202,0,0,-678618,-675384,8374
中間投入／Ａ11／飲食料品（百万円）,1684,0,237041,75,71,3264,0,1,27,0,0,0,0,0,0,0,0,0,0,2169,0,0,0,0,1922,0,0,1683,8,3390,5606,49183,839,239,1322755,0,1043,0,1631000,1631000,204807,0,3077953,702313,18595,0,0,31380,57,4035105,5666105,9439,9439,607174,616613,4651718,6282718,-618642,-49036,-116355,-784033,-4228406,0,-117953,-5130392,-478674,1152326
中間投入／Ａ15／繊維製品（百万円）,726,28,1063,30695,867,292,1,1425,243,63,43,176,254,722,633,2433,1798,967,775,6407,18981,320,479,1193,50936,16322,362,9084,24718,14728,2957,25331,7319,38916,30906,3689,590,8515,296442,304957,25361,0,465457,120096,0,187,67424,-16164,31,662392,967349,1456,1456,39863,41319,703711,1008668,-532215,-36519,-27857,-596591,-285814,0,-15723,-898128,-194417,110540
中間投入／Ａ16／パルプ・紙・木製品（百万円）,1540,11,13707,670,57421,8491,1,919,3249,76,136,624,334,348,2365,3030,3817,3227,830,129592,263127,1298,1326,2178,112924,36722,4443,27208,295550,7880,33062,44667,6128,73814,57362,102202,1957,37590,1302236,1339826,16297,0,38010,11885,48,3059,54882,-9393,503,115291,1455117,8736,8736,154110,162846,278137,1617963,-196750,-2335,-9901,-208986,-1160807,0,-2064,-1371857,-1093720,246106
中間投入／Ａ20／化学製品（百万円）,6987,118,10067,7964,5840,140267,264,39445,4480,576,436,1418,910,1856,5103,7136,7631,6175,7818,41466,36047,2803,8875,10064,108,322,259,1950,33770,7150,23906,745642,911,64822,69063,3792,11233,0,1316674,1316674,40735,0,293037,26520,0,0,0,3894,1629,365815,1682489,57374,57374,356047,413421,779236,2095910,-326979,-1579,-15760,-344318,-1262054,0,-4370,-1610742,-831506,485168
中間投入／Ａ21／石油・石炭製品（百万円）,3239,251,5942,633,784,2718,2889,652,2934,887,264,718,349,464,725,1140,607,393,4678,3224,56934,110480,11656,8214,32134,4114,6455,544379,22470,62320,34024,27977,2489,50052,63292,0,27467,1775,1097948,1099723,6217,0,316784,98743,0,0,0,7270,0,429014,1528737,19,19,5820,5839,434853,1534576,-218019,-415,-13010,-231444,-1204212,0,-76839,-1512495,-1077642,22081
中間投入／Ａ22／プラスチック・ゴム（百万円）,1229,24,21919,885,6380,9789,7,24770,784,117,328,630,2686,7201,17980,11294,17338,24097,32404,71977,81659,0,22747,6768,39342,20653,5295,9532,98043,16917,15455,15449,2679,52580,20542,11690,7030,0,678220,678220,5897,0,89252,17112,110,0,-103,61,405,112734,790954,16503,16503,172524,189027,301761,979981,-117172,-5513,-6129,-128814,-581974,0,-2473,-713261,-411500,266720
中間投入／Ａ25／窯業・土石製品（百万円）,97,0,1568,21,1934,3588,84,465,25010,177,102,651,2161,2062,14781,24030,5407,1595,9663,3696,331728,115,2722,326,2563,148,476,92,325,691,9222,5886,151,1820,13303,1299,6741,0,474700,474700,3637,0,22450,3975,0,0,0,60,441,30563,505263,17166,17166,98926,116092,146655,621355,-41772,-291,-2091,-44154,-422531,0,-1130,-467815,-321160,153540
中間投入／Ａ26／鉄鋼（百万円）,6,0,0,8,5640,15,0,437,436,107842,46,45687,27703,40430,11663,2892,31859,6232,51221,3484,177840,0,271,0,0,0,0,1638,0,204,0,23,0,1056,349,7,9580,0,526569,526569,0,0,-3966,0,0,-4093,-29715,687,1147,-35940,490629,22541,22541,151741,174282,138342,664911,-17258,0,-861,-18119,-469052,0,0,-487171,-348829,177740
