区分／分類コード／部門名,中間需要／Ｋ1／農林水産業（百万円）,中間需要／Ｋ2／鉱業（百万円）,中間需要／Ｋ3／製造業（百万円）,中間需要／Ｋ4／建設（百万円）,中間需要／Ｋ5／電力・ガス・水道（百万円）,中間需要／Ｋ6／商業（百万円）,中間需要／Ｋ7／金融・保険（百万円）,中間需要／Ｋ8／不動産（百万円）,中間需要／Ｋ9／運輸・郵便（百万円）,中間需要／Ｋ10／情報通信（百万円）,中間需要／Ｋ11／公務（百万円）,中間需要／Ｋ12／サービス（百万円）,中間需要／Ｋ13／分類不明（百万円）,中間需要／Ｌ1／本社（百万円）,中間需要／Ｒ1／財・サービス内生部門計（百万円）,中間需要／Ｒ2／内生部門計（百万円）,最終需要／Ｐ1／都事業所家計外消費支出（百万円）,最終需要／Ｐ2／他県事業所家計外消費支出（百万円）,最終需要／Ｐ3／民間消費支出（他県民支出を除く。）（百万円）,最終需要／Ｐ4／他県民支出（百万円）,最終需要／Ｐ5／一般政府消費支出（百万円）,最終需要／Ｐ6／都内総固定資本形成（百万円）,最終需要／Ｐ7／在庫純増（百万円）,最終需要／Ｐ8／調整項（百万円）,最終需要／Ｒ3／都内最終需要計（百万円）,最終需要／Ｒ4／都内需要合計（百万円）,最終需要／Ｐ9／輸出（百万円）,最終需要／Ｒ5／輸出計（百万円）,最終需要／Ｐ10／移出（百万円）,最終需要／Ｒ6／移輸出計（百万円）,最終需要／Ｒ7／最終需要計（百万円）,最終需要／Ｒ8／需要合計,Ｐ11／（控除）輸入,Ｒ9／(控除）輸入計,Ｐ12／移入,Ｑ1／都事業所家計外消費支出,Ｑ2／都民支出,Ｒ10／（控除）移輸入計,Ｒ11／最終需要部門計,Ｒ12／生産額
中間投入／Ａ1／農林水産業（百万円）,2968,0,267764,5531,0,891,0,16,390,0,749,259554,0,0,537863,537863,15536,0,416269,62721,0,5504,-477,18,499571,1037434,643,643,19017,19660,519231,1057094,-120496,-120496,-820556,0,-15040,-956092,-436861,101002
中間投入／Ａ2／鉱業（百万円）,0,17,22045,27485,634012,0,0,0,20,0,72,49,58,0,683758,683758,-919,0,-222,0,0,-445,882,24,-680,683078,499,499,3415,3914,3234,686992,-651416,-651416,-27202,0,0,-678618,-675384,8374
中間投入／Ａ3／製造業（百万円）,17600,666,3614809,1796928,189945,429849,264124,25565,773661,1022617,535602,4211733,79404,201754,12962503,13164257,401157,0,6237609,1116849,18775,4581200,-3525,23907,12375972,25540229,913610,913610,4706003,5619613,17995585,31159842,-5066022,-5066022,-17061021,0,-247237,-22374280,-4378695,8785562
中間投入／Ａ4／建設（百万円）,473,59,37786,15290,158684,126952,71946,421392,110496,125449,90307,303065,0,136914,1461899,1598813,0,0,0,0,0,5461308,0,0,5461308,7060121,0,0,0,0,5461308,7060121,0,0,0,0,0,0,5461308,7060121
中間投入／Ａ5／電力・ガス・水道（百万円）,544,165,116878,33243,168304,268286,56379,65885,85911,106127,91663,798600,11471,197483,1803456,2000939,1933,0,1237389,0,7384,0,0,0,1246706,3247645,8592,8592,0,8592,1255298,3256237,-468,-468,-939696,0,0,-940164,315134,2316073
中間投入／Ａ6／商業（百万円）,5332,195,592848,458830,44127,327266,60459,16718,130325,312771,85749,1519339,13181,75164,3567140,3642304,380310,0,5160443,903579,390,1155964,16878,0,7617564,11259868,434387,434387,10257998,10692385,18309949,21952253,-107449,-107449,-2284481,0,-157842,-2549772,15760177,19402481
中間投入／Ａ7／金融・保険（百万円）,795,210,56127,37499,23914,182036,360138,1697680,110713,54113,850974,271671,9427,2350275,3655297,6005572,42,0,1950923,697505,0,0,0,0,2648470,8654042,258344,258344,1854303,2112647,4761117,10766689,-158709,-158709,-10252,0,-1666,-170627,4590490,10596062
中間投入／Ａ8／不動産（百万円）,1794,25,15179,22145,11042,401644,170171,136125,78154,398679,17494,508554,33546,1260606,1794552,3055158,0,0,10492649,178143,4052,0,0,0,10674844,13730002,6690,6690,317623,324313,10999157,14054315,-327,-327,0,0,-3417,-3744,10995413,14050571
中間投入／Ａ9／運輸・郵便（百万円）,2345,2081,261452,194477,82754,557382,230779,20816,827874,307766,231558,723897,56327,632277,3499508,4131785,97808,13869,2076662,516804,-17758,99183,4000,0,2790568,6922353,956245,956245,1514252,2470497,5261065,9392850,-588818,-588818,-2217881,-3999,-412769,-3223467,2037598,6169383
中間投入／Ａ10／情報通信（百万円）,653,33,59301,55574,51166,537518,521643,50577,59393,2156460,156548,3071788,26421,727506,6747075,7474581,39543,0,1663493,129769,3200,1985882,-2086,479,3820280,11294861,154638,154638,9010544,9165182,12985462,20460043,-169722,-169722,-1029749,0,-13358,-1212829,11772633,19247214
