分類コード／部門名,従業者総数（人）,個人業主（人）,家族従業者（人）,有給役員 雇用者（人）,有給役員 雇用者／有給役員（人）,有給役員 雇用者／雇用者（人）,有給役員 雇用者／雇用者／常用雇用者（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員（人）,有給役員 雇用者／雇用者／常用雇用者／正社員・正職員以外（人）,有給役員 雇用者／雇用者／臨時雇用者（人）
Ｍ01／農林水産業,4775533,1755660,2435629,584244,56440,527804,305949,188032,117917,221855
Ｍ06／鉱業,28805,636,210,27959,3896,24063,23207,20229,2978,856
Ｍ11／飲食料品,1222361,61721,34117,1126523,47506,1079017,1030417,661625,368792,48600
Ｍ15／繊維製品,306076,82529,36149,187398,12807,174591,166246,130787,35459,8345
Ｍ16／パルプ・紙・木製品,473356,77968,26346,369042,22150,346892,335962,277370,58592,10930
Ｍ20／化学製品,194862,798,252,193812,6500,187312,181841,152077,29764,5471
Ｍ21／石油・石炭製品,18203,0,0,18203,983,17220,16989,14848,2141,231
Ｍ22／プラスチック・ゴム,528274,24446,8795,495033,29329,465704,452748,334564,118184,12956
Ｍ25／窯業・土石製品,240140,23847,8853,207440,12055,195385,187056,158966,28090,8329
Ｍ26／鉄鋼,216504,7872,2137,206495,10002,196493,192805,171257,21548,3688
Ｍ27／非鉄金属,112516,5942,1676,104898,5318,99580,97488,82351,15137,2092
Ｍ28／金属製品,664568,66621,19315,578632,35473,543159,528175,449136,79039,14984
Ｍ29／はん用機械,289044,11424,2942,274678,13130,261548,254216,215960,38256,7332
Ｍ30／生産用機械,501315,35138,8631,457546,27487,430059,421150,371404,49746,8909
Ｍ31／業務用機械,144133,5474,1446,137213,6491,130722,126227,103283,22944,4495
Ｍ32／電子部品,318752,4047,1278,313427,10894,302533,295093,252753,42340,7440
Ｍ33／電気機械　　　　　　,333754,10387,2868,320499,14819,305680,296015,240862,55153,9665
Ｍ34／情報・通信機器,157896,1157,326,156413,4259,152154,149239,126503,22736,2915
Ｍ35／輸送機械,775713,15412,5305,754996,22763,732233,708691,608581,100110,23542
Ｍ39／その他の製造工業製品,510670,104056,37322,369292,23704,345588,323176,260597,62579,22412
Ｍ41／建設,4946370,642878,183933,4119559,718776,3400783,3161828,2604583,557245,238955
Ｍ46／電力・ガス・熱供給,151144,0,0,151144,1723,149421,148543,141008,7535,878
Ｍ47／水道,58142,0,0,58142,0,58142,56723,50354,6369,1419
Ｍ48／廃棄物処理,241582,7536,3236,230810,27610,203200,193073,155104,37969,10127
Ｍ51／商業,8160548,761442,464049,6935057,568982,6366075,5986480,3078600,2907880,379595
Ｍ53／金融・保険,1101386,29999,2604,1068783,27688,1041095,1036410,860581,175829,4685
Ｍ55／不動産,597044,178187,37378,381479,143170,238309,217326,161702,55624,20983
Ｍ57／運輸・郵便,2566002,96707,19801,2449494,95724,2353770,2223834,1670178,553656,129936
Ｍ59／情報通信,742350,57359,1475,683516,41185,642331,599839,521568,78271,42492
Ｍ61／公務,1668252,0,0,1668252,0,1668252,1602133,1218674,383459,66119
Ｍ63／教育・研究,2533442,3740,707,2528995,24441,2504554,2382923,1890072,492851,121631
Ｍ64／医療・福祉,5750550,221943,90001,5438606,163006,5275600,4943920,3487281,1456639,331680
Ｍ65／その他の非営利団体サービス,378822,16988,12041,349793,58027,291766,261743,189155,72588,30023
Ｍ66／対事業所サービス,4506210,659882,113778,3732550,278593,3453957,3075502,1777905,1297597,378455
Ｍ67／対個人サービス,6484156,1050416,438568,4995172,161195,4833977,4146684,1271337,2875347,687293
Ｍ69／分類不明,22357,142,64,22151,1515,20636,20407,18722,1685,229
Ｎ10／本社,5970767,0,0,5970767,455158,5515609,5515609,3605387,1910222,0
合計,57691599,6022354,4001232,47668013,3132799,44535214,41665667,27523396,14142271,2869547
,,,,,,,,,,
東京都産業連関表,,,,,,,,,,
３-２　雇用表（その他地域、統合大分類）,,,,,,,,,,
column0,column1,column1,column1,column2,column2,column3,column4,column4,,column3
