地域／分類コード／部門名,東京都地域／Ｐ71／都事業所家計外消費支出（百万円）,東京都地域／Ｐ61／他県事業所家計外消費支出（百万円）,東京都地域／Ｐ72／民間消費支出（他県民支出を除く。）（百万円）,東京都地域／Ｐ92／他県民支出（百万円）,東京都地域／Ｐ73／一般政府消費支出（百万円）,東京都地域／Ｐ74／都内総固定資本形成（公的）（百万円）,東京都地域／Ｐ75／都内総固定資本形成（民間）（百万円）,東京都地域／Ｐ76／在庫純増（百万円）,東京都地域／Ｐ77／調整項（百万円）,東京都地域／Ｒ81／都：輸出計（百万円）,東京都地域／東京都地域計（百万円）,その他地域／Ｑ71／都事業所家計外消費支出（百万円）,その他地域／Ｑ61／他県事業所家計外消費支出（百万円）,その他地域／Ｑ72／都民支出（百万円）,その他地域／Ｑ92／民間消費支出（都民支出を除く。）（百万円）,その他地域／Ｑ73／一般政府消費支出（百万円）,その他地域／Ｑ74／他地域内総固定資本形成（公的）（百万円）,その他地域／Ｑ75／他地域内総固定資本形成（民間）（百万円）,その他地域／Ｑ76／在庫純増（百万円）,その他地域／Ｑ77／調整項（百万円）,その他地域／Ｓ81／他：輸出計（百万円）,その他地域／その他地域計（百万円）,合計（百万円）
東京都地域／Ａ01／農林水産業（百万円）,5396,1225,54836,9571,1516,254,803,245,9,1001,74857,52,1294,278,21678,934,165,683,105,19,937,26145,101002
東京都地域／Ａ06／鉱業（百万円）,110,34,2646,144,357,55,176,11,0,603,4135,1,35,7,911,224,897,1566,-58,14,641,4239,8374
東京都地域／Ａ11／飲食料品（百万円）,45101,8928,384398,85288,13857,108,646,3369,24,5357,547076,1036,26388,5023,549676,11709,460,1828,3354,99,5677,605250,1152326
東京都地域／Ａ15／繊維製品（百万円）,2228,160,40294,10523,2874,433,6029,-1131,5,1669,63083,21,971,223,34498,3292,968,4609,-1219,65,4029,47457,110540
東京都地域／Ａ16／パルプ・紙・木製品（百万円）,349,518,20411,4661,7919,8025,25284,-510,153,9464,76273,138,5305,627,78954,19386,11593,30379,-462,467,23446,169833,246106
東京都地域／Ａ20／化学製品（百万円）,3849,291,30883,3840,26247,911,4636,324,295,58920,130197,202,8062,862,161130,84808,10887,32378,262,1235,55146,354971,485168
東京都地域／Ａ21／石油・石炭製品（百万円）,372,88,6378,1859,1510,310,857,83,1,1075,12533,5,148,93,5347,869,337,1073,43,24,1609,9548,22081
東京都地域／Ａ22／プラスチック・ゴム（百万円）,2039,289,28965,5364,8430,2505,10083,-110,180,20568,78313,88,2674,491,71595,15749,7984,35370,237,1153,53066,188407,266720
東京都地域／Ａ25／窯業・土石製品（百万円）,797,122,7006,1081,1906,5828,13659,466,216,18554,49633,22,690,108,17867,5063,23014,40950,-164,358,15998,103907,153540
東京都地域／Ａ26／鉄鋼（百万円）,202,31,2458,330,908,1098,2455,-1,199,24176,31855,20,642,111,21763,4208,10700,41688,970,1468,64313,145885,177740
東京都地域／Ａ27／非鉄金属（百万円）,88,12,1614,159,383,473,2067,-10,27,20444,25257,9,306,47,11052,2529,3284,18019,-100,815,32726,68688,93945
東京都地域／Ａ28／金属製品（百万円）,2387,351,16841,2283,11306,11531,34424,738,236,12791,92889,73,2376,303,45286,10577,16068,49478,37,838,37195,162233,255122
東京都地域／Ａ29／はん用機械（百万円）,95,17,1760,190,683,1819,16174,33,135,14309,35215,12,319,68,12866,3163,8494,99012,450,832,34835,160051,195266
東京都地域／Ａ30／生産用機械（百万円）,144,27,2134,301,794,1909,41805,301,887,82043,130345,17,440,89,12788,3857,3973,214158,748,713,30183,266966,397311
東京都地域／Ａ31／業務用機械（百万円）,570,53,10209,1183,12238,4626,55647,1010,1107,104249,190892,38,1236,228,48123,21494,14230,208230,2153,478,23663,319873,510765
東京都地域／Ａ32／電子部品（百万円）,837,73,18574,1686,6716,3349,27379,688,421,40367,100089,42,1828,271,82326,16471,15246,95492,1670,3134,146200,362679,462768
東京都地域／Ａ33／電気機械（百万円）,1444,50,37583,2729,5724,17067,98877,4723,1153,108149,277499,26,1140,183,63174,9634,33190,266599,1063,2009,83642,460660,738159
東京都地域／Ａ34／情報・通信機器（百万円）,2147,27,64720,3478,4218,14422,141928,-2141,74,19934,248808,9,1210,155,139581,3383,38299,174442,-2116,134,7163,362260,611068
東京都地域／Ａ35／輸送機械（百万円）,601,148,46020,3851,31952,3919,88159,904,3159,390500,569213,44,1194,626,106901,20100,8674,256127,-11906,3001,138838,523599,1092812
東京都地域／Ａ39／その他の製造工業製品（百万円）,33616,2810,327944,65316,90112,17007,120659,-2272,274,40710,696176,533,20869,2811,426658,105437,36982,161783,-193,2251,120609,877741,1573917
東京都地域／Ａ41／建設（百万円）,27281,7158,649924,61778,209627,1751990,3775539,147,73,39805,6523321,350,9776,2422,251733,48530,28201,108841,877,1268,84801,536800,7060121
東京都地域／Ａ46／電力・ガス・熱供給（百万円）,44981,13406,1041387,54579,137374,10015,40400,150,88,31822,1374203,228,6899,1381,162211,31058,18151,72359,567,913,60749,354516,1728719
東京都地域／Ａ47／水道（百万円）,20739,6186,318614,25838,82809,2834,11791,43,13,9685,478551,70,2224,507,51936,9395,5396,21038,201,256,17779,108803,587354
東京都地域／Ａ48／廃棄物処理（百万円）,15652,5139,98333,16766,237113,2124,7653,14,6,6274,389075,36,1221,286,28505,5090,2997,11550,90,125,8462,58362,447437
東京都地域／Ａ51／商業（百万円）,479177,42066,5160629,968492,323564,146921,1134187,10684,378,372858,8638956,6964,217825,33478,4673301,821912,429695,1848027,38220,26235,2667869,10763525,19402481
東京都地域／Ａ53／金融・保険（百万円）,42289,9392,3770489,818150,947864,37469,153522,204,139,334416,6113934,2705,67711,13449,2684868,405986,182406,565825,5695,8935,544547,4482128,10596062
東京都地域／Ａ55／不動産（百万円）,53033,12346,11124813,278266,211804,28750,139153,257,77,62764,11911262,1681,42645,8162,1050529,209640,112104,383479,3621,4873,322576,2139309,14050571
東京都地域／Ａ57／運輸・郵便（百万円）,85926,23918,1681076,516852,212420,37742,156527,1585,111,947491,3663648,1413,43457,45051,1488825,197705,79566,285236,4147,4386,355950,2505735,6169383
東京都地域／Ａ59／情報通信（百万円）,137817,21932,2925892,341948,542285,285135,2062085,-1827,737,314697,6630701,6316,175444,31446,4972826,1309392,865093,4060367,12314,18239,1165076,12616513,19247214
東京都地域／Ａ61／公務（百万円）,3351,758,167322,7584,5742078,7428,21337,26,16,6480,5956381,50,1423,329,36226,7927,4422,18441,122,179,12451,81571,6037952
東京都地域／Ａ63／教育・研究（百万円）,10589,1798,1600604,392530,1513117,16118,94832,283,407,86674,3716951,583,16060,2941,426916,94123,57227,257839,1106,3816,199676,1060287,4777238
東京都地域／Ａ64／医療・福祉（百万円）,144961,70,1616166,173125,4346775,198,861,1,0,725,6282882,4,1025,40,3853,2315,332,1404,9,11,788,9781,6292663
東京都地域／Ａ65／その他の非営利団体サービス（百万円）,4433,1332,441539,156727,13286,2279,8006,7,8,10051,637667,55,1470,276,36925,7425,4397,15600,115,186,11337,77787,715454
東京都地域／Ａ66／対事業所サービス（百万円）,185712,36953,2681058,395132,1218959,275287,1041502,764,580,687228,6523174,9303,234551,45298,5722248,1535209,701013,2361284,17680,28183,1712382,12367152,18890326
東京都地域／Ａ67／対個人サービス（百万円）,1788830,623353,5510261,1432878,121733,5311,33644,12,14,166515,9682550,166,33340,2827,298451,23970,14625,65922,282,370,24277,464231,10146781
東京都地域／Ａ68／事務用品（百万円）,3749,885,42913,8070,27321,1810,8297,18,8,4128,97200,106,2779,529,69494,12356,8004,26029,245,365,23100,143008,240208
東京都地域／Ａ69／分類不明（百万円）,14263,3225,222212,32282,76474,31619,90823,110,67,27584,498658,215,6059,1399,154197,33742,18824,78492,521,763,52998,347210,845868
東京都地域／Ｂ10／本社（百万円）,135383,24236,2060325,318917,374241,178096,794855,325,503,239091,4125971,18613,467488,85492,11551563,1952408,1370689,4026183,38960,62597,3752671,23326663,27452634
東京都地域／Ｆ70／都：財・サービス内生部門計（百万円）,3165155,825171,40158906,5884831,16194252,2738679,9471910,19198,11275,4084077,82553454,32636,941037,202426,24025218,5098664,2777898,11915597,80686,118210,8144735,53337108,135890562
東京都地域／Ｆ71／都：内生部門計（百万円）,3300538,849406,42219231,6203748,16568493,2916775,10266765,19523,11778,4323169,86679426,51249,1408525,287917,35576780,7051072,4148587,15941780,119646,180807,11897406,76663770,163343196
その他地域／Ｃ01／農林水産業（百万円）,139220,29141,1200614,263064,35592,5090,27558,4405,30,14354,1719067,18946,439850,71798,8450315,298314,54235,286914,257387,8494,329639,10215893,11934960
その他地域／Ｃ06／鉱業（百万円）,1988,381,28713,5185,7120,7872,21625,-531,16,4375,76745,366,8307,3297,315581,53243,23876,68053,2438,3123,196578,674861,751606
その他地域／Ｃ11／飲食料品（百万円）,414738,75375,3477184,854763,58929,1914,10787,28551,15,30750,4953006,53084,1396297,216167,26281692,691207,15416,63523,175651,13633,528906,29435578,34388584
その他地域／Ｃ15／繊維製品（百万円）,16930,1205,181118,44261,19804,4820,46843,-6378,15,5174,313791,1065,59529,11387,1840640,165374,38700,195640,-62158,12427,667207,2929811,3243602
その他地域／Ｃ16／パルプ・紙・木製品（百万円）,77765,8980,525426,99151,138266,85509,324504,-10253,174,48644,1298165,6712,223452,29563,3749697,1021332,933546,2093576,-45153,34566,1476907,9524198,10822363
その他地域／Ｃ20／化学製品（百万円）,110679,10434,940679,131643,626449,41648,203856,1151,354,63093,2129987,7263,369006,39992,7222755,6574145,349395,1205064,154274,206661,8890204,25018759,27148746
その他地域／Ｃ21／石油・石炭製品（百万円）,63326,11656,838410,202166,217782,45866,188076,6734,193,130483,1704692,9006,233536,137748,9868490,1625810,508845,1346544,131539,67301,4201617,18130434,19835126
その他地域／Ｃ22／プラスチック・ゴム（百万円）,37799,5548,431791,71484,91986,44245,252353,-1032,347,56695,991217,4576,143038,23495,3665692,759077,413053,1605948,70612,110817,4851888,11648194,12639411
その他地域／Ｃ25／窯業・土石製品（百万円）,11886,1797,125559,17991,33472,85539,235027,-1184,185,23687,533958,1350,41784,6229,926122,261391,859189,1626901,25735,48965,1954319,5751985,6285943
その他地域／Ｃ26／鉄鋼（百万円）,25422,3865,422807,42427,112964,215711,986647,-3662,1435,176298,1983913,2878,89219,16606,3259829,626923,1739283,6500157,373653,324339,15392677,28325563,30309476
その他地域／Ｃ27／非鉄金属（百万円）,8916,1200,135570,13924,40571,49049,262509,-1618,338,42334,552792,819,28343,4440,1076941,237096,332282,1614687,16974,129199,4974373,8415154,8967946
その他地域／Ｃ28／金属製品（百万円）,25875,3936,247045,35020,95559,153346,470316,-1348,197,30294,1060239,2877,91204,11340,1868239,446641,1338009,2928616,38065,54760,2036148,8815899,9876138
その他地域／Ｃ29／はん用機械（百万円）,2546,441,45430,5044,16036,37191,426558,-154,113,16283,549489,411,10876,2301,410499,113368,223206,3659401,81773,99387,4078825,8680046,9229535
その他地域／Ｃ30／生産用機械（百万円）,2374,425,33288,4765,11002,18516,566500,341,101,14588,651902,433,11216,2297,341814,104231,99760,5549699,151593,170895,6877973,13309909,13961811
その他地域／Ｃ31／業務用機械（百万円）,4169,627,52334,6658,72293,18010,501363,1997,50,11714,669215,526,16075,2632,444632,639892,142637,2485283,21009,39692,1461402,5253780,5922995
その他地域／Ｃ32／電子部品（百万円）,9265,708,197876,16734,61187,32738,288735,-1816,441,52842,658709,648,30970,4338,1395185,287811,233753,1465967,166054,171735,8530443,12286904,12945613
その他地域／Ｃ33／電気機械（百万円）,13628,456,355181,24862,27142,60872,391281,1877,188,24904,900391,454,45608,3806,2667390,160259,434914,3711828,136681,161695,6081468,13404103,14304494
