区分／地域／分類コード／部門名,中間需要／東京都地域／1／農林水産・鉱業（百万円）,中間需要／東京都地域／2／製造業・建設（百万円）,中間需要／東京都地域／3／電力・ガス・水道（百万円）,中間需要／東京都地域／4／商業・金融・不動産（百万円）,中間需要／東京都地域／5／運輸・情報通信（百万円）,中間需要／東京都地域／6／公務・教育医療・サービス（百万円）,中間需要／東京都地域／7／本社（百万円）,中間需要／東京都地域／8／都：財・サービス内生部門計（百万円）,中間需要／東京都地域／9／都：内生部門計（百万円）,中間需要／その他地域／10／農林水産・鉱業（百万円）,中間需要／その他地域／11／製造業・建設（百万円）,中間需要／その他地域／12／電力・ガス・水道（百万円）,中間需要／その他地域／13／商業・金融・不動産（百万円）,中間需要／その他地域／14／運輸・情報通信（百万円）,中間需要／その他地域／15／公務・教育医療・サービス（百万円）,中間需要／その他地域／16／本社（百万円）,中間需要／その他地域／17／他：財・サービス内生部門計（百万円）,中間需要／その他地域／18／他：内生部門計（百万円）,中間需要／19／内生部門計（百万円）,最終需要／東京都地域／20／都事業所家計外消費支出（百万円）,最終需要／東京都地域／21／他県事業所家計外消費支出（百万円）,最終需要／東京都地域／22／民間消費支出（他県民支出を除く。）（百万円）,最終需要／東京都地域／23／他県民支出（百万円）,最終需要／東京都地域／24／一般政府消費支出（百万円）,最終需要／東京都地域／25／都内総固定資本形成（百万円）,最終需要／東京都地域／26／在庫純増（百万円）,最終需要／東京都地域／27／調整項（百万円）,最終需要／東京都地域／28／都内最終需要計（百万円）,最終需要／東京都地域／29／都内需要合計（百万円）,最終需要／東京都地域／30／輸出（百万円）,最終需要／東京都地域／31／都：輸出計（百万円）,最終需要／東京都地域／32／都：最終需要計（百万円）,最終需要／東京都地域／33／都：需要合計（百万円）,最終需要／東京都地域／34／（控除）輸入（百万円）,最終需要／東京都地域／35／都：（控除）輸入計（百万円）,最終需要／その他地域／36／都事業所家計外消費支出（百万円）,最終需要／その他地域／37／他県事業所家計外消費支出（百万円）,最終需要／その他地域／38／都民支出（百万円）,最終需要／その他地域／39／民間消費支出（都民支出を除く。）（百万円）,最終需要／その他地域／40／一般政府消費支出（百万円）,最終需要／その他地域／41／他地域内総固定資本形成（百万円）,最終需要／その他地域／42／在庫純増（百万円）,最終需要／その他地域／43／調整項（百万円）,最終需要／その他地域／44／他地域内最終需要計（百万円）,最終需要／その他地域／45／他地域内需要合計（百万円）,最終需要／その他地域／46／輸出（百万円）,最終需要／その他地域／47／他：輸出計（百万円）,最終需要／その他地域／48／他：最終需要計（百万円）,最終需要／その他地域／49／他：需要合計（百万円）,最終需要／その他地域／50／（控除）輸入（百万円）,最終需要／その他地域／51／他：（控除）輸入計（百万円）,52／輸出計（百万円）,53／国内最終需要計（百万円）,54／国内需要合計（百万円）,55／最終需要計（百万円）,56／需要合計（百万円）,57／（控除）輸入計（百万円）,58／生産額（百万円）
中間投入／東京都地域／1／農林水産・鉱業（百万円）,1569,57749,633655,326,77,49421,0,742797,742797,537,15266,-1,1,3,2427,0,18233,18233,761030,2973,0,96173,14102,0,-200,2045,42,115135,857932,924,924,116059,858856,-771912,-771912,0,137,102,4019,0,0,-63,0,4195,22428,4,4,4199,22432,0,0,928,119330,880360,120258,881288,-771912,109376
中間投入／東京都地域／2／製造業・建設（百万円）,4746,1480536,210497,963096,833521,1989727,298806,5482123,5780929,19433,2018376,18449,107812,68594,511314,3536,2743978,2747514,8528443,111578,0,1896461,346401,18542,7127822,9132,23907,9533843,15314772,890930,890930,10424773,16205702,-5066022,-5066022,0,22934,3488,788783,107,1143024,-9506,0,1948830,4696344,9659,9659,1958489,4706003,0,0,900589,11482673,20011116,12383262,20911705,-5066022,15845683
中間投入／東京都地域／3／電力・ガス・水道（百万円）,388,96293,107558,258937,127938,665744,124164,1256858,1381022,0,0,0,0,0,0,0,0,0,1381022,1455,0,921891,0,7384,0,0,0,930730,2311752,4789,4789,935519,2316541,-468,-468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4789,930730,2311752,935519,2316541,-468,2316073
中間投入／東京都地域／4／商業・金融・不動産（百万円）,6781,820976,63616,3224182,972973,2879802,3668023,7968330,11636353,99167,3849682,99617,968293,256360,1601066,207815,6874185,7082000,18718353,339345,0,16804978,1680113,4342,864047,10800,0,19703625,31339978,545697,545697,20249322,31885675,-266485,-266485,0,72363,10692,2980520,908,820512,26585,0,3911580,10993580,1436344,1436344,5347924,12429924,0,0,1982041,23615205,42333558,25597246,44315599,-266485,44049114
中間投入／東京都地域／5／運輸・情報通信（百万円）,4129,299456,85627,1569026,2783305,3299606,1109945,8041149,9151094,21976,908001,200902,1536015,1021391,1770486,232265,5458771,5691036,14842130,83752,13869,2990098,600116,-14991,1841878,-672,479,5514529,14665623,984718,984718,6499247,15650341,-758540,-758540,0,27674,38296,1478067,13047,3166199,879,0,4724162,10415198,109598,109598,4833760,10524796,0,0,1094316,10238691,25080821,11333007,26175137,-758540,25416597
中間投入／東京都地域／6／公務・教育医療・サービス（百万円）,4651,1280876,221621,2421572,3914123,5119993,2377099,12962836,15339935,27193,1911276,164997,1236458,904280,1649682,761255,5893886,6655141,21995076,1955223,628741,9237338,2130008,11530505,169967,0,0,25651782,40991717,568971,568971,26220753,41560688,-640903,-640903,0,37805,2494,375790,34,162670,0,0,578793,7233934,0,0,578793,7233934,0,0,568971,26230575,48225651,26799546,48794622,-640903,48153719
中間投入／東京都地域／7／本社（百万円）,535,556778,42922,2511614,1974336,1355936,0,6442121,6442121,74123,6820624,381218,6763018,3132342,3839188,0,21010513,21010513,27452634,0,0,0,0,0,0,0,0,0,6442121,0,0,0,6442121,0,0,0,0,0,0,0,0,0,0,0,21010513,0,0,0,21010513,0,0,0,0,27452634,0,27452634,0,27452634
中間投入／東京都地域／8／都：財・サービス内生部門計（百万円）,22264,4035886,1322574,8437139,8631937,14004293,7578037,36454093,44032130,168306,8702601,483964,3848579,2250628,5534975,1204871,20989053,22193924,66226054,2494326,642610,31946939,4770740,11545782,10003514,21305,24428,61449644,105481774,2996029,2996029,64445673,108477803,-7504330,-7504330,0,160913,55072,5627179,14096,5292405,17895,0,11167560,33361484,1555605,1555605,12723165,34917089,0,0,4551634,72617204,138843258,77168838,143394892,-7504330,135890562
中間投入／東京都地域／9／都：内生部門計（百万円）,22799,4592664,1365496,10948753,10606273,15360229,7578037,42896214,50474251,242429,15523225,865182,10611597,5382970,9374163,1204871,41999566,43204437,93678688,2494326,642610,31946939,4770740,11545782,10003514,21305,24428,61449644,111923895,2996029,2996029,64445673,114919924,-7504330,-7504330,0,160913,55072,5627179,14096,5292405,17895,0,11167560,54371997,1555605,1555605,12723165,55927602,0,0,4551634,72617204,166295892,77168838,170847526,-7504330,163343196
中間投入／その他地域／10／農林水産・鉱業（百万円）,1416,265076,357,581,333,211061,0,478824,478824,1454816,24696515,6271050,8027,1838,1101682,0,33533928,33533928,34012752,11644,0,304834,48619,0,5259,-1640,0,368716,847540,218,218,368934,847758,0,0,0,43280,14938,2900162,0,156224,204424,4026,3323054,36856982,82319,82319,3405373,36939301,-25100493,-25100493,82537,3691770,37704522,3774307,37787059,-25100493,12686566
