年・期,西暦(年),四半期,建設業（千人）,製造業（千人）,情報通信業（千人）,運輸業，郵便業（千人）,卸売業，小売業（千人）,金融業，保険業（千人）,不動産業，物品賃貸業（千人）,学術研究，専門･技術ｻｰﾋﾞｽ業（千人）,宿泊業，飲食ｻｰﾋﾞｽ業（千人）,生活関連ｻｰﾋﾞｽ業，娯楽業（千人）,教育，学習支援業（千人）,医療，福祉（千人）,ｻｰﾋﾞｽ業（他に分類されないもの）（千人）
実数／男女計／平成21年平均,2009,,463,808,561,363,1151,268,208,387,496,275,321,554,594
実数／男女計／平成22年平均,2010,,417,756,598,384,1118,265,203,396,487,265,329,583,582
実数／男女計／平成23年平均,2011,,428,747,574,364,1146,270,229,395,455,275,326,590,608
実数／男女計／平成21年７～９月平均,2009,07～09,448,762,528,380,1150,276,209,352,512,294,310,594,586
実数／男女計／平成21年10～12月平均,2009,10～12,474,778,591,401,1103,251,184,413,470,279,352,562,606
実数／男女計／平成22年１～３月平均,2010,01～03,463,749,595,404,1155,241,207,397,457,229,326,577,569
実数／男女計／平成22年４～６月平均,2010,04～06,402,764,597,343,1086,278,204,404,515,286,325,574,576
実数／男女計／平成22年７～９月平均,2010,07～09,394,753,582,402,1074,296,201,362,485,277,322,607,568
実数／男女計／平成22年10～12月平均,2010,10～12,408,758,619,386,1155,244,201,420,492,269,342,572,615
実数／男女計／平成23年１～３月平均,2011,01～03,442,738,552,395,1175,248,223,388,459,274,330,625,590
実数／男女計／平成23年４～６月平均,2011,04～06,429,776,531,376,1172,290,253,404,424,258,316,569,626
実数／男女計／平成23年７～９月平均,2011,07～09,420,740,594,351,1138,286,215,375,470,274,300,574,591
実数／男女計／平成23年10～12月平均,2011,10～12,423,734,621,333,1100,256,226,413,468,295,359,590,626
実数／男／平成21年平均,2009,,395,589,414,286,617,143,126,244,237,124,143,157,313
実数／男／平成22年平均,2010,,360,537,444,301,592,130,123,250,233,118,147,166,306
実数／男／平成23年平均,2011,,356,519,411,296,586,142,147,264,212,132,144,172,334
実数／男／平成21年７～９月平均,2009,07～09,380,551,394,329,618,146,132,226,246,134,123,169,307
実数／男／平成21年10～12月平均,2009,10～12,416,576,437,273,572,140,106,257,225,131,173,157,308
実数／男／平成22年１～３月平均,2010,01～03,403,555,431,298,623,112,116,241,207,94,146,181,302
実数／男／平成22年４～６月平均,2010,04～06,337,542,447,286,558,141,123,254,259,124,134,153,304
実数／男／平成22年７～９月平均,2010,07～09,344,514,436,343,588,157,118,236,234,123,145,176,297
実数／男／平成22年10～12月平均,2010,10～12,358,537,462,277,602,111,135,266,233,131,165,156,321
実数／男／平成23年１～３月平均,2011,01～03,370,526,400,302,586,127,140,245,184,126,138,204,334
実数／男／平成23年４～６月平均,2011,04～06,358,533,370,310,603,158,168,274,204,132,133,156,329
実数／男／平成23年７～９月平均,2011,07～09,344,520,420,298,590,152,135,257,225,134,140,148,335
