区分・年,西暦(年),実数／総数（千人、％）,実数／15～24歳（千人、％）,実数／25～34歳（千人、％）,実数／35～44歳（千人、％）,実数／45～54歳（千人、％）,実数／55～64歳（千人、％）,実数／65歳以上（千人、％）,対前年増減数／総数（千人、ポイント）,対前年増減数／15～24歳（千人、ポイント）,対前年増減数／25～34歳（千人、ポイント）,対前年増減数／35～44歳（千人、ポイント）,対前年増減数／45～54歳（千人、ポイント）,対前年増減数／55～64歳（千人、ポイント）,対前年増減数／65歳以上（千人、ポイント）,対前年増減率／総数（％）,対前年増減率／15～24歳（％）,対前年増減率／25～34歳（％）,対前年増減率／35～44歳（％）,対前年増減率／45～54歳（％）,対前年増減率／55～64歳（％）,対前年増減率／65歳以上（％）
15歳以上人口／平成13年平均,2001,5119,747,1124,819,858,744,826,6,-35,15,13,-3,-19,35,0.1,-4.5,1.4,1.6,-0.3,-2.5,4.4
15歳以上人口／平成14年平均,2002,5317,813,1123,873,848,771,889,198,66,-1,54,-10,27,63,3.9,8.8,-0.1,6.6,-1.2,3.6,7.6
15歳以上人口／平成15年平均,2003,5358,790,1119,909,812,802,926,41,-23,-4,36,-36,31,37,0.8,-2.8,-0.4,4.1,-4.2,4,4.2
15歳以上人口／平成16年平均,2004,5382,763,1110,939,781,833,957,24,-27,-9,30,-31,31,31,0.4,-3.4,-0.8,3.3,-3.8,3.9,3.3
15歳以上人口／平成17年平均,2005,5412,744,1102,967,759,848,992,30,-19,-8,28,-22,15,35,0.6,-2.5,-0.7,3,-2.8,1.8,3.7
15歳以上人口／平成18年平均,2006,5449,744,1086,994,747,846,1032,37,0,-16,27,-12,-2,40,0.7,0,-1.5,2.8,-1.6,-0.2,4
15歳以上人口／平成19年平均,2007,5594,754,1052,1056,779,871,1081,145,10,-34,62,32,25,49,2.7,1.3,-3.1,6.2,4.3,3,4.7
15歳以上人口／平成20年平均,2008,5622,734,1029,1086,792,860,1122,28,-20,-23,30,13,-11,41,0.5,-2.7,-2.2,2.8,1.7,-1.3,3.8
15歳以上人口／平成21年平均,2009,5637,711,1003,1105,811,843,1164,15,-23,-26,19,19,-17,42,0.3,-3.1,-2.5,1.7,2.4,-2,3.7
15歳以上人口／平成22年平均,2010,5635,678,979,1110,838,840,1190,-2,-33,-24,5,27,-3,26,0,-4.6,-2.4,0.5,3.3,-0.4,2.2
15歳以上人口／平成23年平均,2011,5649,651,960,1125,860,845,1208,14,-27,-19,15,22,5,18,0.2,-4,-1.9,1.4,2.6,0.6,1.5
労働力人口／平成13年平均,2001,3924,299,1068,801,831,639,285,-21,-27,19,11,-7,-25,7,-0.5,-8.3,1.8,1.4,-0.8,-3.8,2.5
労働力人口／平成14年平均,2002,4054,360,1056,855,820,649,313,130,61,-12,54,-11,10,28,3.3,20.4,-1.1,6.7,-1.3,1.6,9.8
労働力人口／平成15年平均,2003,4059,324,1062,890,784,674,325,5,-36,6,35,-36,25,12,0.1,-10,0.6,4.1,-4.4,3.9,3.8
労働力人口／平成16年平均,2004,4022,295,1044,907,745,707,323,-37,-29,-18,17,-39,33,-2,-0.9,-9,-1.7,1.9,-5,4.9,-0.6
労働力人口／平成17年平均,2005,4031,289,1028,936,722,718,338,9,-6,-16,29,-23,11,15,0.2,-2,-1.5,3.2,-3.1,1.6,4.6
労働力人口／平成18年平均,2006,4054,273,1019,960,716,718,367,23,-16,-9,24,-6,0,29,0.6,-5.5,-0.9,2.6,-0.8,0,8.6
労働力人口／平成19年平均,2007,4252,337,984,1021,752,761,397,198,64,-35,61,36,43,30,4.9,23.4,-3.4,6.4,5,6,8.2
労働力人口／平成20年平均,2008,4274,321,980,1055,763,754,401,22,-16,-4,34,11,-7,4,0.5,-4.7,-0.4,3.3,1.5,-0.9,1
労働力人口／平成21年平均,2009,4197,272,946,1068,782,729,400,-77,-49,-34,13,19,-25,-1,-1.8,-15.3,-3.5,1.2,2.5,-3.3,-0.2
労働力人口／平成22年平均,2010,4179,247,918,1070,806,728,410,-18,-25,-28,2,24,-1,10,-0.4,-9.2,-3,0.2,3.1,-0.1,2.5
労働力人口／平成23年平均,2011,4189,226,896,1082,828,734,423,10,-21,-22,12,22,6,13,0.2,-8.5,-2.4,1.1,2.7,0.8,3.2
就業者数／平成13年平均,2001,3717,268,1009,773,799,593,275,-32,-28,11,11,-6,-26,6,-0.9,-9.5,1.1,1.4,-0.7,-4.2,2.2
就業者数／平成14年平均,2002,3827,319,993,823,786,601,305,110,51,-16,50,-13,8,30,3,19,-1.6,6.5,-1.6,1.3,10.9
就業者数／平成15年平均,2003,3860,295,1011,858,752,632,312,33,-24,18,35,-34,31,7,0.9,-7.5,1.8,4.3,-4.3,5.2,2.3
就業者数／平成16年平均,2004,3820,267,978,875,717,669,314,-40,-28,-33,17,-35,37,2,-1,-9.5,-3.3,2,-4.7,5.9,0.6
就業者数／平成17年平均,2005,3840,264,974,899,696,680,326,20,-3,-4,24,-21,11,12,0.5,-1.1,-0.4,2.7,-2.9,1.6,3.8
就業者数／平成18年平均,2006,3879,256,960,928,694,684,357,39,-8,-14,29,-2,4,31,1,-3,-1.4,3.2,-0.3,0.6,9.5
就業者数／平成19年平均,2007,4093,318,936,987,731,734,387,214,62,-24,59,37,50,30,5.5,24.2,-2.5,6.4,5.3,7.3,8.4
就業者数／平成20年平均,2008,4118,301,933,1024,742,730,388,25,-17,-3,37,11,-4,1,0.6,-5.3,-0.3,3.7,1.5,-0.5,0.3
就業者数／平成21年平均,2009,4011,254,889,1029,756,699,385,-107,-47,-44,5,14,-31,-3,-2.6,-15.6,-4.7,0.5,1.9,-4.2,-0.8
就業者数／平成22年平均,2010,3941,215,854,1023,775,683,393,-70,-39,-35,-6,19,-16,8,-1.7,-15.4,-3.9,-0.6,2.5,-2.3,2.1
就業者数／平成23年平均,2011,3984,206,841,1034,802,690,411,43,-9,-13,11,27,7,18,1.1,-4.2,-1.5,1.1,3.5,1,4.6
完全失業者数／平成13年平均,2001,207,31,59,28,33,46,10,11,1,8,0,0,1,1,5.6,3.3,15.7,0,0,2.2,11.1
完全失業者数／平成14年平均,2002,227,41,63,32,34,48,9,20,10,4,4,1,2,-1,9.7,32.3,6.8,14.3,3,4.3,-10
完全失業者数／平成15年平均,2003,199,29,51,32,32,42,13,-28,-12,-12,0,-2,-6,4,-12.3,-29.3,-19,0,-5.9,-12.5,44.4
完全失業者数／平成16年平均,2004,202,28,66,31,28,38,9,3,-1,15,-1,-4,-4,-4,1.5,-3.4,29.4,-3.1,-12.5,-9.5,-30.8
完全失業者数／平成17年平均,2005,191,25,54,37,26,38,12,-11,-3,-12,6,-2,0,3,-5.4,-10.7,-18.2,19.4,-7.1,0,33.3
完全失業者数／平成18年平均,2006,175,17,59,32,22,34,10,-16,-8,5,-5,-4,-4,-2,-8.4,-32,9.3,-13.5,-15.4,-10.5,-16.7
完全失業者数／平成19年平均,2007,159,19,48,33,20,27,11,-16,2,-11,1,-2,-7,1,-9.1,11.8,-18.6,3.1,-9.1,-20.6,10
完全失業者数／平成20年平均,2008,156,20,47,31,20,24,13,-3,1,-1,-2,0,-3,2,-1.9,5.3,-2.1,-6.1,0,-11.1,18.2
完全失業者数／平成21年平均,2009,186,18,57,39,27,30,15,30,-2,10,8,7,6,2,19.2,-10,21.3,25.8,35,25,15.4
完全失業者数／平成22年平均,2010,238,32,64,48,32,45,17,52,14,7,9,5,15,2,28,77.8,12.3,23.1,18.5,50,13.3
完全失業者数／平成23年平均,2011,205,20,55,48,27,43,12,-33,-12,-9,0,-5,-2,-5,-13.9,-37.5,-14.1,0,-15.6,-4.4,-29.4
非労働力人口／平成13年平均,2001,1191,448,55,17,26,104,541,32,-7,-1,2,4,6,28,2.8,-1.5,-1.8,13.3,18.2,6.1,5.5
非労働力人口／平成14年平均,2002,1257,452,64,17,28,121,575,66,4,9,0,2,17,34,5.5,0.9,16.4,0,7.7,16.3,6.3
非労働力人口／平成15年平均,2003,1295,466,55,19,27,127,601,38,14,-9,2,-1,6,26,3,3.1,-14.1,11.8,-3.6,5,4.5
非労働力人口／平成16年平均,2004,1355,467,63,31,35,125,634,60,1,8,12,8,-2,33,4.6,0.2,14.5,63.2,29.6,-1.6,5.5
非労働力人口／平成17年平均,2005,1375,454,72,29,36,130,654,20,-13,9,-2,1,5,20,1.5,-2.8,14.3,-6.5,2.9,4,3.2
非労働力人口／平成18年平均,2006,1392,470,66,34,31,127,665,17,16,-6,5,-5,-3,11,1.2,3.5,-8.3,17.2,-13.9,-2.3,1.7
非労働力人口／平成19年平均,2007,1337,415,68,34,27,110,683,-55,-55,2,0,-4,-17,18,-4,-11.7,3,0,-12.9,-13.4,2.7
非労働力人口／平成20年平均,2008,1346,413,48,30,28,106,721,9,-2,-20,-4,1,-4,38,0.7,-0.5,-29.4,-11.8,3.7,-3.6,5.6
非労働力人口／平成21年平均,2009,1436,436,57,35,29,115,764,90,23,9,5,1,9,43,6.7,5.6,18.8,16.7,3.6,8.5,6
非労働力人口／平成22年平均,2010,1451,429,60,39,31,112,780,15,-7,3,4,2,-3,16,1,-1.6,5.3,11.4,6.9,-2.6,2.1
非労働力人口／平成23年平均,2011,1457,425,63,42,31,111,785,6,-4,3,3,0,-1,5,0.4,-0.9,5,7.7,0,-0.9,0.6
労働力人口比率／平成13年平均,2001,76.7,40,95,97.8,96.9,85.9,34.5,-0.5,-1.7,0.4,-0.2,-0.4,-1.1,-0.6,-,-,-,-,-,-,-
労働力人口比率／平成14年平均,2002,76.2,44.3,94,97.9,96.7,84.2,35.2,-0.5,4.3,-1,0.1,-0.2,-1.7,0.7,-,-,-,-,-,-,-
労働力人口比率／平成15年平均,2003,75.8,41,94.9,97.9,96.6,84,35.1,-0.4,-3.3,0.9,0,-0.1,-0.2,-0.1,-,-,-,-,-,-,-
労働力人口比率／平成16年平均,2004,74.7,38.7,94.1,96.6,95.4,84.9,33.8,-1.1,-2.3,-0.8,-1.3,-1.2,0.9,-1.3,-,-,-,-,-,-,-
労働力人口比率／平成17年平均,2005,74.5,38.8,93.3,96.8,95.1,84.7,34.1,-0.2,0.1,-0.8,0.2,-0.3,-0.2,0.3,-,-,-,-,-,-,-
労働力人口比率／平成18年平均,2006,74.4,36.7,93.8,96.6,95.9,84.9,35.6,-0.1,-2.1,0.5,-0.2,0.8,0.2,1.5,-,-,-,-,-,-,-
労働力人口比率／平成19年平均,2007,76,44.7,93.5,96.7,96.5,87.4,36.7,1.6,8,-0.3,0.1,0.6,2.5,1.1,-,-,-,-,-,-,-
労働力人口比率／平成20年平均,2008,76,43.7,95.2,97.1,96.3,87.7,35.7,0,-1,1.7,0.4,-0.2,0.3,-1,-,-,-,-,-,-,-
労働力人口比率／平成21年平均,2009,74.5,38.3,94.3,96.7,96.4,86.5,34.4,-1.5,-5.4,-0.9,-0.4,0.1,-1.2,-1.3,-,-,-,-,-,-,-
