区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減数（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減数（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減数（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11435,11405,30,0.3,5652,5642,10,0.2,5783,5764,19,0.3
〔就業状態〕／労働力人口,7092,7137,-45,-0.6,4169,4170,-1,0,2923,2967,-44,-1.5
〔就業状態〕／労働力人口／就業者数,6774,6791,-17,-0.3,3968,3961,7,0.2,2806,2831,-25,-0.9
〔就業状態〕／労働力人口／就業者数／自営業主数,546,585,-39,-6.7,390,411,-21,-5.1,156,174,-18,-10.3
〔就業状態〕／労働力人口／就業者数／家族従業者数,108,135,-27,-20,18,28,-10,-35.7,90,107,-17,-15.9
〔就業状態〕／労働力人口／就業者数／雇用者数,6092,6030,62,1,3546,3501,45,1.3,2546,2529,17,0.7
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5278,5201,77,1.5,3244,3198,46,1.4,2034,2002,32,1.6
〔就業状態〕／労働力人口／完全失業者数,317,345,-28,-8.1,201,209,-8,-3.8,117,136,-19,-14
〔就業状態〕／非労働力人口,4342,4262,80,1.9,1482,1467,15,1,2860,2795,65,2.3
〔就業者の活動状況別内訳〕／就業者数（再掲）,6774,6791,-17,-0.3,3968,3961,7,0.2,2806,2831,-25,-0.9
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6631,6634,-3,0,3902,3893,9,0.2,2728,2741,-13,-0.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5700,5681,19,0.3,3740,3719,21,0.6,1960,1962,-2,-0.1
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,730,759,-29,-3.8,67,73,-6,-8.2,663,686,-23,-3.4
