年・期,西暦(年),四半期,男女計／就業者数（千人）,男女計／就業者数／自営業主数（千人）,男女計／就業者数／家族従業者数（千人）,男女計／就業者数／雇用者数（千人）,男女計／就業者数／雇用者数／うち常雇（千人）,男／就業者数（千人）,男／就業者数／自営業主数（千人）,男／就業者数／家族従業者数（千人）,男／就業者数／雇用者数（千人）,男／就業者数／雇用者数／うち常雇（千人）,女／就業者数（千人）,女／就業者数／自営業主数（千人）,女／就業者数／家族従業者数（千人）,女／就業者数／雇用者数（千人）,女／就業者数／雇用者数／うち常雇（千人）
実数／平成17年平均,2005,,6453,611,158,5647,4819,3840,444,33,3342,3034,2613,168,125,2306,1785
実数／平成18年平均,2006,,6557,577,157,5781,4961,3879,429,33,3393,3091,2678,148,124,2388,1870
実数／平成19年平均,2007,,6832,577,143,6067,5221,4093,427,27,3616,3302,2740,150,117,2451,1918
実数／平成20年平均,2008,,6885,567,126,6156,5329,4118,414,21,3661,3354,2767,153,105,2494,1975
実数／平成21年平均,2009,,6781,587,119,6036,5200,4011,417,19,3555,3261,2770,170,100,2481,1939
実数／平成22年平均,2010,,6728,571,119,5995,5160,3941,399,21,3498,3192,2787,172,98,2497,1968
実数／平成23年平均,2011,,6795,566,118,6072,5267,3984,410,18,3537,3245,2811,157,100,2535,2022
実数／平成18年４～６月平均,2006,04～06,6660,546,150,5931,5058,3938,407,30,3488,3173,2722,139,120,2444,1884
実数／平成18年７～９月平均,2006,07～09,6633,573,172,5845,5063,3902,424,37,3416,3113,2730,149,135,2429,1950
実数／平成18年10～12月平均,2006,10～12,6463,637,156,5627,4850,3836,475,32,3305,3029,2627,162,124,2322,1822
実数／平成19年１～３月平均,2007,01～03,6723,554,143,5973,5056,4054,428,24,3580,3259,2669,126,119,2393,1797
実数／平成19年４～６月平均,2007,04～06,6889,577,161,6090,5191,4144,437,31,3646,3310,2745,140,130,2445,1881
実数／平成19年７～９月平均,2007,07～09,6951,592,146,6185,5369,4100,419,28,3640,3325,2851,173,117,2545,2043
実数／平成19年10～12月平均,2007,10～12,6767,587,124,6018,5267,4074,426,24,3598,3316,2693,161,100,2420,1951
実数／平成20年１～３月平均,2008,01～03,6851,560,141,6113,5300,4107,412,24,3650,3376,2744,148,117,2463,1924
実数／平成20年４～６月平均,2008,04～06,6878,543,116,6173,5306,4121,424,18,3651,3330,2757,118,97,2522,1977
実数／平成20年７～９月平均,2008,07～09,6905,580,129,6165,5361,4127,407,25,3678,3364,2778,173,104,2487,1997
実数／平成20年10～12月平均,2008,10～12,6907,584,118,6172,5348,4118,413,17,3666,3347,2789,171,101,2505,2002
実数／平成21年１～３月平均,2009,01～03,6771,558,119,6057,5238,4041,406,21,3598,3312,2729,152,98,2458,1926
実数／平成21年４～６月平均,2009,04～06,6832,598,117,6064,5194,4028,427,25,3550,3237,2803,171,92,2514,1958
実数／平成21年７～９月平均,2009,07～09,6774,573,117,6044,5209,4012,401,16,3574,3282,2762,173,102,2470,1928
実数／平成21年10～12月平均,2009,10～12,6749,618,124,5980,5158,3963,434,16,3497,3213,2786,184,109,2483,1944
実数／平成22年１～３月平均,2010,01～03,6745,565,101,6036,5261,3969,402,11,3529,3258,2776,163,90,2507,2003
実数／平成22年４～６月平均,2010,04～06,6721,592,120,5957,5093,3896,401,22,3448,3131,2825,192,98,2509,1962
実数／平成22年７～９月平均,2010,07～09,6656,540,119,5957,5084,3939,383,25,3514,3179,2717,158,94,2443,1905
実数／平成22年10～12月平均,2010,10～12,6791,585,135,6030,5201,3961,411,28,3501,3198,2831,174,107,2529,2002
