区分,男女計／実数（千人、％）,男女計／前年同期（千人、％）,男女計／対前年同期／増減（千人、ポイント）,男女計／対前年同期／増減率（％）,男／実数（千人、％）,男／前年同期（千人、％）,男／対前年同期／増減（千人、ポイント）,男／対前年同期／増減率（％）,女／実数（千人、％）,女／前年同期（千人、％）,女／対前年同期／増減（千人、ポイント）,女／対前年同期／増減率（％）
15歳以上人口,11411,11364,47,0.4,5641,5628,13,0.2,5770,5736,34,0.6
〔就業状態〕／労働力人口,7182,7097,85,1.2,4182,4192,-10,-0.2,3000,2905,95,3.3
〔就業状態〕／労働力人口／就業者数,6844,6745,99,1.5,3980,3969,11,0.3,2864,2776,88,3.2
〔就業状態〕／労働力人口／就業者数／自営業主数,581,565,16,2.8,424,402,22,5.5,156,163,-7,-4.3
〔就業状態〕／労働力人口／就業者数／家族従業者数,116,101,15,14.9,16,11,5,45.5,100,90,10,11.1
〔就業状態〕／労働力人口／就業者数／雇用者数,6107,6036,71,1.2,3518,3529,-11,-0.3,2589,2507,82,3.3
〔就業状態〕／労働力人口／就業者数／雇用者数／うち常雇,5312,5261,51,1,3234,3258,-24,-0.7,2078,2003,75,3.7
〔就業状態〕／労働力人口／完全失業者数,338,352,-14,-4,203,223,-20,-9,135,129,6,4.7
〔就業状態〕／非労働力人口,4221,4261,-40,-0.9,1455,1431,24,1.7,2767,2830,-63,-2.2
〔就業者の活動状況別内訳〕／就業者数（再掲）,6844,6745,99,1.5,3980,3969,11,0.3,2864,2776,88,3.2
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数,6660,6558,102,1.6,3904,3896,8,0.2,2756,2662,94,3.5
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／主に仕事,5695,5618,77,1.4,3778,3746,32,0.9,1916,1872,44,2.4
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／家事などのかたわらに仕事,807,764,43,5.6,53,58,-5,-8.6,754,706,48,6.8
〔就業者の活動状況別内訳〕／就業者数（再掲）／従業者数／通学のかたわらに仕事,159,176,-17,-9.7,73,93,-20,-21.5,86,83,3,3.6
〔就業者の活動状況別内訳〕／就業者数（再掲）／休業者数,184,187,-3,-1.6,76,73,3,4.1,108,114,-6,-5.3
〔就業者の主な産業別内訳〕／建設業,442,463,-21,-4.5,370,403,-33,-8.2,72,60,12,20
〔就業者の主な産業別内訳〕／製造業,738,749,-11,-1.5,526,555,-29,-5.2,212,194,18,9.3
〔就業者の主な産業別内訳〕／情報通信業,552,595,-43,-7.2,400,431,-31,-7.2,152,165,-13,-7.9
〔就業者の主な産業別内訳〕／運輸業，郵便業,395,404,-9,-2.2,302,298,4,1.3,93,107,-14,-13.1
〔就業者の主な産業別内訳〕／卸売業，小売業,1175,1155,20,1.7,586,623,-37,-5.9,588,533,55,10.3
〔就業者の主な産業別内訳〕／金融業，保険業,248,241,7,2.9,127,112,15,13.4,121,129,-8,-6.2
〔就業者の主な産業別内訳〕／不動産業，物品賃貸業,223,207,16,7.7,140,116,24,20.7,83,91,-8,-8.8
〔就業者の主な産業別内訳〕／学術研究，専門・技術サービス業,388,397,-9,-2.3,245,241,4,1.7,142,156,-14,-9
〔就業者の主な産業別内訳〕／宿泊業，飲食サービス業,459,457,2,0.4,184,207,-23,-11.1,275,250,25,10
〔就業者の主な産業別内訳〕／生活関連サービス業，娯楽業,274,229,45,19.7,126,94,32,34,148,135,13,9.6
〔就業者の主な産業別内訳〕／教育，学習支援業,330,326,4,1.2,138,146,-8,-5.5,192,180,12,6.7
〔就業者の主な産業別内訳〕／医療，福祉,625,577,48,8.3,204,181,23,12.7,421,396,25,6.3
〔就業者の主な産業別内訳〕／サービス業（他に分類されないもの）,590,569,21,3.7,334,302,32,10.6,256,267,-11,-4.1
〔雇用者の主な産業別内訳〕／建設業,367,392,-25,-6.4,301,339,-38,-11.2,66,53,13,24.5
〔雇用者の主な産業別内訳〕／製造業,691,708,-17,-2.4,498,530,-32,-6,194,178,16,9
〔雇用者の主な産業別内訳〕／情報通信業,521,566,-45,-8,380,411,-31,-7.5,141,155,-14,-9
〔雇用者の主な産業別内訳〕／運輸業，郵便業,362,368,-6,-1.6,270,265,5,1.9,92,103,-11,-10.7
〔雇用者の主な産業別内訳〕／卸売業，小売業,1077,1072,5,0.5,534,572,-38,-6.6,543,500,43,8.6
〔雇用者の主な産業別内訳〕／金融業，保険業,245,236,9,3.8,125,111,14,12.6,121,126,-5,-4
〔雇用者の主な産業別内訳〕／不動産業，物品賃貸業,182,173,9,5.2,122,101,21,20.8,61,72,-11,-15.3
〔雇用者の主な産業別内訳〕／学術研究，専門・技術サービス業,282,301,-19,-6.3,174,179,-5,-2.8,108,122,-14,-11.5
〔雇用者の主な産業別内訳〕／宿泊業，飲食サービス業,395,381,14,3.7,147,166,-19,-11.4,248,215,33,15.3
〔雇用者の主な産業別内訳〕／生活関連サービス業，娯楽業,215,185,30,16.2,95,75,20,26.7,120,110,10,9.1
〔雇用者の主な産業別内訳〕／教育，学習支援業,289,287,2,0.7,131,137,-6,-4.4,158,151,7,4.6
〔雇用者の主な産業別内訳〕／医療，福祉,568,518,50,9.7,168,147,21,14.3,400,371,29,7.8
〔雇用者の主な産業別内訳〕／サービス業（他に分類されないもの）,552,521,31,6,306,270,36,13.3,246,251,-5,-2
〔非農林業雇用者の従業者規模別内訳〕／総数,6101,6032,69,1.1,3514,3525,-11,-0.3,2587,2506,81,3.2
〔非農林業雇用者の従業者規模別内訳〕／総数／１～29人規模,1748,1744,4,0.2,982,1018,-36,-3.5,766,725,41,5.7
〔非農林業雇用者の従業者規模別内訳〕／総数／30～499人規模,1917,1838,79,4.3,1051,1031,20,1.9,865,807,58,7.2
〔非農林業雇用者の従業者規模別内訳〕／総数／500人以上規模,1912,1952,-40,-2,1150,1183,-33,-2.8,763,769,-6,-0.8
〔完全失業率（年齢階級別）(%)〕／総数,4.7,5,-0.3,,4.9,5.3,-0.4,,4.5,4.4,0.1,
〔完全失業率（年齢階級別）(%)〕／総数／15～24歳,7.6,8.8,-1.2,,9.1,12.8,-3.7,,6,5.5,0.5,
〔完全失業率（年齢階級別）(%)〕／総数／25～34歳,6.5,6.5,0,,6.7,6.2,0.5,,6.2,7,-0.8,
〔完全失業率（年齢階級別）(%)〕／総数／35～44歳,4.7,4.6,0.1,,4.8,4.5,0.3,,4.5,4.7,-0.2,
〔完全失業率（年齢階級別）(%)〕／総数／45～54歳,3.2,2.9,0.3,,2.5,3.2,-0.7,,4.3,2.4,1.9,
〔完全失業率（年齢階級別）(%)〕／総数／55～64歳,4.3,5,-0.7,,5,5.9,-0.9,,3.4,3.6,-0.2,
〔完全失業率（年齢階級別）(%)〕／総数／65歳以上,2.3,3,-0.7,,2.8,4.2,-1.4,,1.1,0.8,0.3,
〔労働力人口比率(%)〕／総数,62.9,62.5,0.4,,74.1,74.5,-0.4,,52,50.6,1.4,
,,,,,,,,,,,,
東京の労働力統計データ（平成23年１～３月期平均）,,,,,,,,,,,,
第１表　就業状態別15歳以上人口、産業別就業者数及び完全失業者数,,,,,,,,,,,,
平成23年１～３月期平均,,,,,,,,,,,,
注1)15歳以上人口及び就業者数には、不詳を含む。,,,,,,,,,,,,
注2)非農林業雇用者の従業者規模別内訳の総数には、官公・従業者規模不詳を含むため、規模別内訳を積み上げても、総数と一致しない。,,,,,,,,,,,,
